id,назва,проблема,пріоритет
2934022775,"Головка торцевая ударная 1/2""  23мм  TOPTUL KABA1623","Опис короткий (42 симв., мін. 300)",high
2934022775,"Головка торцевая ударная 1/2""  23мм  TOPTUL KABA1623","Мало фото (1, мін. 3)",medium
2934022775,"Головка торцевая ударная 1/2""  23мм  TOPTUL KABA1623",Характеристики не заповнені,medium
2934022774,"Портативная зарядная станция 2000W/4000W(Max), 220V PROTESTER PRO-PS2000F","Мало фото (1, мін. 3)",medium
2934022774,"Портативная зарядная станция 2000W/4000W(Max), 220V PROTESTER PRO-PS2000F",Характеристики не заповнені,medium
2934022773,"Зарядная станция 220В 1000W/2000W(Max), 220V, 999Wh, 22.2V/45Ah (270000mAh/3.7V)","Мало фото (1, мін. 3)",medium
2934022773,"Зарядная станция 220В 1000W/2000W(Max), 220V, 999Wh, 22.2V/45Ah (270000mAh/3.7V)",Характеристики не заповнені,medium
2934022772,"Портативная зарядная станция 600W/1000W(Max), 220V PROTESTER PRO-PS600H","Мало фото (1, мін. 3)",medium
2934022772,"Портативная зарядная станция 600W/1000W(Max), 220V PROTESTER PRO-PS600H",Характеристики не заповнені,medium
2934022771,"Портативная зарядная электростанция 500W/1000W(Max), 220V PROTESTER PRO-PS500H","Мало фото (2, мін. 3)",medium
2934022771,"Портативная зарядная электростанция 500W/1000W(Max), 220V PROTESTER PRO-PS500H",Характеристики не заповнені,medium
2934022770,"Портативная зарядная станция 300W/600W(Max), 220V PROTESTER PRO-PS300-2E","Мало фото (1, мін. 3)",medium
2934022770,"Портативная зарядная станция 300W/600W(Max), 220V PROTESTER PRO-PS300-2E",Характеристики не заповнені,medium
2934022769,"Портативная зарядная станция 500W/720W(Max), 220V PROTESTER PRO-PS500E","Мало фото (2, мін. 3)",medium
2934022769,"Портативная зарядная станция 500W/720W(Max), 220V PROTESTER PRO-PS500E",Характеристики не заповнені,medium
2934022767,"Портативная зарядная электростанция 2000W/4000W(Max), 220V PROTESTER PRO-PS2000G","Мало фото (1, мін. 3)",medium
2934022767,"Портативная зарядная электростанция 2000W/4000W(Max), 220V PROTESTER PRO-PS2000G",Характеристики не заповнені,medium
2934022766,"Портативная зарядная станция 300W/600W(Max), 220V PROTESTER PRO-PS301G","Мало фото (2, мін. 3)",medium
2934022766,"Портативная зарядная станция 300W/600W(Max), 220V PROTESTER PRO-PS301G",Характеристики не заповнені,medium
2934022765,"Портативная зарядная станция 1000W/2000W(Max), 220V PROTESTER PRO-PS1000G","Мало фото (1, мін. 3)",medium
2934022765,"Портативная зарядная станция 1000W/2000W(Max), 220V PROTESTER PRO-PS1000G",Характеристики не заповнені,medium
2934022764,"Зарядная станция для дома 1000W/2000W(Max) LiFePO4, 220V PROTESTER PRO-PS1000D",Характеристики не заповнені,medium
2934022763,"Портативная зарядная станция 180W/220W(Max), 220V PROTESTER PRO-PS180E",Характеристики не заповнені,medium
2934022762,"Портативная зарядная станция 1200W/2000W(Max), 220V PROTESTER PRO-PS1000H","Мало фото (1, мін. 3)",medium
2934022762,"Портативная зарядная станция 1200W/2000W(Max), 220V PROTESTER PRO-PS1000H",Характеристики не заповнені,medium
2934022761,Диагностический сканер для авто LAUNCH iSmartLink-D01,"Мало фото (1, мін. 3)",medium
2934022761,Диагностический сканер для авто LAUNCH iSmartLink-D01,Характеристики не заповнені,medium
2934022760,Автомобильный сканер для диагностики LAUNCH iSmartTool-601MAX,"Мало фото (1, мін. 3)",medium
2934022760,Автомобильный сканер для диагностики LAUNCH iSmartTool-601MAX,Характеристики не заповнені,medium
2934022759,Пресс-клещи гидравлические KYQ-400 (16-400 мм²) для опрессовки наконечников и ги,"Мало фото (1, мін. 3)",medium
2934022759,Пресс-клещи гидравлические KYQ-400 (16-400 мм²) для опрессовки наконечников и ги,Характеристики не заповнені,medium
2934022758,Эндоскоп USB для смартфона автомобильный  PROTESTER PRO-VS9801,"Мало фото (2, мін. 3)",medium
2934022758,Эндоскоп USB для смартфона автомобильный  PROTESTER PRO-VS9801,Характеристики не заповнені,medium
2934022757,"Термогигрометр 10-99%, -9.9~60°C BENETECH GM1371","Назва коротка (48 симв., мін. 50)",high
2934022757,"Термогигрометр 10-99%, -9.9~60°C BENETECH GM1371",Характеристики не заповнені,medium
2934022756,Гайкорез гидравлический ручной СТАНДАРТ HNST0024A,"Назва коротка (49 симв., мін. 50)",high
2934022756,Гайкорез гидравлический ручной СТАНДАРТ HNST0024A,"Мало фото (1, мін. 3)",medium
2934022756,Гайкорез гидравлический ручной СТАНДАРТ HNST0024A,Характеристики не заповнені,medium
2934022755,Гайколом гидравлический ручной СТАНДАРТ HNST0024,"Назва коротка (48 симв., мін. 50)",high
2934022755,Гайколом гидравлический ручной СТАНДАРТ HNST0024,"Мало фото (1, мін. 3)",medium
2934022755,Гайколом гидравлический ручной СТАНДАРТ HNST0024,Характеристики не заповнені,medium
2934022754,"Портативный влагомер зерна, зонд 30см (7,5~55%) BENETECH GM650A",Характеристики не заповнені,medium
2934022753,"Термогигрометр цифровой с магнитным креплением 10-99%, -9.9~60°C BENETECH GM1372",Характеристики не заповнені,medium
2934022752,Фонарик карманный светодиодный (LED) аккумуляторный с магнитом (GERMANY) PROTEST,Характеристики не заповнені,medium
