SKU;Назва;Статус;Ціна постач. стара;Ціна постач. нова;Зміна постач. %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Джерело CPA;Наявність;Залишок;Алерт;Причина алерту
AAEH1011;Ключ накидний (кут 45°) 10х11мм TOPTUL AAEH1011;ok;127.00;127.00;+0.00%;190.00;150.00;-21.05%;15.08%;Накидные ключи;Так;*;Так;подешевшало на 21.1%
AAEH1317;Ключ накидний (кут 45°) 13х17мм TOPTUL AAEH1317;ok;192.00;192.00;+0.00%;270.00;230.00;-14.81%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAEH4650;Ключ накидний (кут 45°) 46х50мм TOPTUL AAEH4650;ok;1802.00;1802.00;+0.00%;2980.00;2080.00;-30.20%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді + подешевшало на 30.2%
AAEH5560;Ключ накидний (кут 45°) 55х60мм TOPTUL AAEH5560;ok;3071.00;3071.00;+0.00%;3840.00;3540.00;-7.81%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAEJ0405;Ключ ріжковий 4x5мм TOPTUL AAEJ0405;ok;86.00;86.00;+0.00%;140.00;100.00;-28.57%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 28.6%
AAEJ0607;Ключ ріжковий 6x7мм TOPTUL AAEJ0607;ok;84.00;84.00;+0.00%;140.00;100.00;-28.57%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 28.6%
AAEJ0608;Ключ ріжковий 6x8мм TOPTUL AAEJ0608;ok;84.00;84.00;+0.00%;130.00;100.00;-23.08%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 23.1%
AAEJ0809;Ключ ріжковий 8x9мм TOPTUL AAEJ0809;ok;99.00;99.00;+0.00%;150.00;120.00;-20.00%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 20.0%
AAEJ0810;Ключ ріжковий 8х10мм TOPTUL AAEJ0810;ok;99.00;99.00;+0.00%;150.00;120.00;-20.00%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 20.0%
AAEJ1011;Ключ ріжковий 10x11мм TOPTUL AAEJ1011;ok;103.00;103.00;+0.00%;160.00;120.00;-25.00%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 25.0%
AAEJ1012;Ключ ріжковий 10x12мм TOPTUL AAEJ1012;ok;103.00;103.00;+0.00%;160.00;120.00;-25.00%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 25.0%
AAEJE507;Ключ ріжковий 5,5 x7мм TOPTUL AAEJE507;ok;84.00;84.00;+0.00%;130.00;100.00;-23.08%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 23.1%
AAEL1111;Ключ комбінований супердовгий 11мм AAAL1111 TOPTUL AAEL1111;ok;127.00;127.00;+0.00%;190.00;150.00;-21.05%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 21.1%
AAEN0808;Ключ комбінований (кут 75°) 8мм TOPTUL AAEN0808;ok;95.00;95.00;+0.00%;150.00;110.00;-26.67%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 26.7%
AAEN1010;Ключ комбінований (кут 75°) 10мм TOPTUL AAEN1010;ok;106.00;106.00;+0.00%;220.00;130.00;-40.91%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 40.9%
AAEX0606;"Ключ комбінований 6мм ""Hi-Performance"" TOPTUL AAEX0606";ok;75.00;75.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAEX0707;"Ключ комбінований 7мм ""Hi-Performance"" TOPTUL AAEX0707";ok;77.00;77.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAEX0808;"Ключ комбінований 8мм ""Hi-Performance"" TOPTUL AAEX0808";ok;81.00;81.00;+0.00%;130.00;100.00;-23.08%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 23.1%
AAEX0909;"Ключ комбінований 9мм ""Hi-Performance"" TOPTUL AAEX0909";ok;86.00;86.00;+0.00%;140.00;100.00;-28.57%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 28.6%
AAEX1010;"Ключ комбінований 10мм ""Hi-Performance"" TOPTUL AAEX1010";ok;85.00;85.00;+0.00%;130.00;100.00;-23.08%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 23.1%
AAEX1111;"Ключ комбінований 11мм ""Hi-Performance"" TOPTUL AAEX1111";ok;95.00;95.00;+0.00%;150.00;110.00;-26.67%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 26.7%
AAEX1212;"Ключ комбінований 12мм ""Hi-Performance"" TOPTUL AAEX1212";ok;104.00;104.00;+0.00%;160.00;120.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAEX1313;"Ключ комбінований 13мм ""Hi-Performance"" TOPTUL AAEX1313";ok;111.00;111.00;+0.00%;170.00;130.00;-23.53%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 23.5%
AAEX1414;"Ключ комбінований 14мм ""Hi-Performance"" TOPTUL AAEX1414";ok;121.00;121.00;+0.00%;180.00;140.00;-22.22%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 22.2%
AAEX1515;"Ключ комбінований 15мм ""Hi-Performance"" TOPTUL AAEX1515";ok;129.00;129.00;+0.00%;190.00;150.00;-21.05%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 21.1%
AAEX5E5E;"Ключ комбінований 5,5мм ""Hi-Performance"" TOPTUL AAEX5E5E";ok;75.00;75.00;+0.00%;800.00;90.00;-88.75%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 88.8%
AB-17-PT-1.4;Пістолет фарбувальний пневматичний HVLP для роботи з фарбува;ok;1609.00;1609.00;+0.00%;2030.00;1830.00;-9.85%;13.20%;Пневматические краскопульты;Ні;*;Так;відсутній у фіді
AB150-360-220;Компресор поршневий з ремінним приводом Vрес=150л 360л/хв 22;ok;37380.00;37380.00;+0.00%;46470.00;40770.00;-12.27%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
AB200-360-220;Компресор поршневий з ремінним приводом Vрес=200л 360л/хв 22;ok;41160.00;41160.00;+0.00%;51160.00;44890.00;-12.26%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
ABG-01;Пистолет продувочный 100мм (пластиковая ручка) AIRKRAFT ABG-;ok;158.00;158.00;+0.00%;240.00;180.00;-25.00%;10.63%;Пневматические продувочные пистолеты;Так;*;Так;подешевшало на 25.0%
AC1X34-3;Станція для заправлення кондиціонерів на базі R-1234YF автом;ok;140448.00;140448.00;+0.00%;185390.00;161520.00;-12.88%;15.00%;default;Ні;*;Так;відсутній у фіді
AC690PRO;Станція для заправлення кондиціонерів автомат з принтером RO;ok;163800.00;163800.00;+0.00%;187420.00;188370.00;+0.51%;15.00%;default;Ні;*;Так;відсутній у фіді
AC790PRO;Установка для обслуговування кондиціонерів (автоматична) AC7;ok;267410.00;267410.00;+0.00%;305950.00;307530.00;+0.52%;15.00%;default;Ні;*;Так;відсутній у фіді
ACM3000;Стенд заправки кондиціонера автомат ROBINAIR ACM3000;ok;121800.00;121800.00;+0.00%;151350.00;140070.00;-7.45%;15.00%;default;Ні;*;Так;відсутній у фіді
ACT550-SFK;Комплект для промивання системи кондиціонування (для AC690PR;ok;61600.00;61600.00;+0.00%;76560.00;70840.00;-7.47%;15.00%;default;Ні;*;Так;відсутній у фіді
ACW-001;Відрізний диск для AT-6027N/RP17620 (5 шт) ACW-001;ok;123.00;123.00;+0.00%;340.00;150.00;-55.88%;15.00%;default;Ні;*;Так;відсутній у фіді + подешевшало на 55.9%
AEAE1616;Ключ торцевий Г-подібний 16x16мм TOPTUL AEAE1616;ok;618.00;618.00;+0.00%;800.00;720.00;-10.00%;15.14%;Торцевые ключи;Ні;*;Так;відсутній у фіді
AEEA1314;Ключ розрізний професійний TOPTUL 13х14 AEEA1314;ok;177.00;177.00;+0.00%;250.00;210.00;-16.00%;15.14%;Разрезные ключи;Ні;*;Так;відсутній у фіді
AEEA1517;Ключ розрізної професійний TOPTUL 15х17 AEEA1517;ok;247.00;247.00;+0.00%;340.00;290.00;-14.71%;15.14%;Разрезные ключи;Ні;*;Так;відсутній у фіді
AF-2;"Мини-фильтр для пневмоинструмента 1/4"" AIRKRAFT AF-2";ok;183.00;183.00;+0.00%;9320.00;210.00;-97.75%;10.63%;Компоненты пневматики;Так;*;Так;подешевшало на 97.7%
AF2500;"Фильтр очистки воздуха 1/4"" AIRKRAFT AF2500";ok;194.00;194.00;+0.00%;24010.00;220.00;-99.08%;10.63%;Компоненты пневматики;Так;*;Так;подешевшало на 99.1%
AF804;"Фильтр очистки воздуха (PROFI) 1/2"" AIRKRAFT AF804";ok;555.00;555.00;+0.00%;820.00;640.00;-21.95%;15.00%;default;Так;*;Так;подешевшало на 22.0%
AGAE0210;Ключ шестигранний Г-подібний 2мм супердовгий TOPTUL AGAE0210;ok;43.00;43.00;+0.00%;80.00;50.00;-37.50%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 37.5%
AGAE0313;Ключ шестигранний Г-подібний 3мм супердовгий TOPTUL AGAE0313;ok;54.00;54.00;+0.00%;100.00;70.00;-30.00%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 30.0%
AGAE0414;Ключ шестигранний Г-подібний 4мм супердовгий TOPTUL AGAE0414;ok;61.00;61.00;+0.00%;100.00;80.00;-20.00%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 20.0%
AGAE0517;Ключ шестигранний Г-подібний 5мм супердовгий TOPTUL AGAE0517;ok;68.00;68.00;+0.00%;110.00;80.00;-27.27%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 27.3%
AGAE0619;Ключ шестигранний Г-подібний 6мм супердовгий TOPTUL AGAE0619;ok;83.00;83.00;+0.00%;130.00;100.00;-23.08%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 23.1%
AGAE1E09;Ключ шестигранний Г-подібний 1,5мм супердовгий TOPTUL AGAE1E;ok;36.00;36.00;+0.00%;70.00;50.00;-28.57%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 28.6%
AGAE2E11;Ключ шестигранний Г-подібний 2,5мм супердовгий TOPTUL AGAE2E;ok;48.00;48.00;+0.00%;90.00;60.00;-33.33%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 33.3%
AGAS0205;Ключ шестигранний Г-подібний 2мм (сталь SNCM+V) TOPTUL AGAS0;ok;26.00;26.00;+0.00%;60.00;40.00;-33.33%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 33.3%
AGAS0307;Ключ шестигранний Г-подібний 3мм (сталь SNCM+ V) TOPTUL AGAS;ok;29.00;29.00;+0.00%;60.00;40.00;-33.33%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 33.3%
AGAS0407;Ключ шестигранний Г-подібний 4мм (сталь SNCM+V) TOPTUL AGAS0;ok;35.00;35.00;+0.00%;70.00;50.00;-28.57%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 28.6%
AGAS0509;Ключ шестигранний Г-подібний 5мм (сталь SNCM+V) TOPTUL AGAS0;ok;44.00;44.00;+0.00%;80.00;60.00;-25.00%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 25.0%
AGAS0610;Ключ шестигранний Г-подібний 6мм (сталь SNCM+V) TOPTUL AGAS0;ok;54.00;54.00;+0.00%;100.00;70.00;-30.00%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 30.0%
AGAS0710;Ключ шестигранний Г-подібний 7мм (сталь SNCM+V) TOPTUL AGAS0;ok;67.00;67.00;+0.00%;110.00;80.00;-27.27%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 27.3%
AGAS0811;Ключ шестигранний Г-подібний 8мм (сталь SNCM+V) TOPTUL AGAS0;ok;82.00;82.00;+0.00%;130.00;100.00;-23.08%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 23.1%
AGAS1E05;Ключ шестигранний Г-подібний 1,5мм (сталь SNCM+V) TOPTUL AGA;ok;19.00;19.00;+0.00%;50.00;40.00;-20.00%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 20.0%
AGAS2E06;Ключ шестигранний Г-подібний 2,5мм (сталь SNCM+V) TOPTUL AGA;ok;28.00;28.00;+0.00%;60.00;40.00;-33.33%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 33.3%
AHC-10-W;Шланг резиновый воздушный армированный 20 атм 8x15мм 50м AIR;ok;2454.00;2454.00;+0.00%;3080.00;2830.00;-8.12%;15.00%;default;Ні;*;Так;відсутній у фіді
AHC-16-E;Шланг резиновый воздушный армированный (PROFI) 20 атм 8x15мм;ok;1380.00;1380.00;+0.00%;3300.00;1590.00;-51.82%;15.00%;default;Так;*;Так;подешевшало на 51.8%
AIAE3017;Ключ TORX Г-подібний T30 довгий TOPTUL AIAE3017;ok;77.00;77.00;+0.00%;120.00;90.00;-25.00%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 25.0%
AIAE4018;Ключ TORX Г-подібний T-40 довгий TOPTUL AIAE4018;ok;104.00;104.00;+0.00%;160.00;120.00;-25.00%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 25.0%
AIAS4010;Ключ TORX Г-подібний T-40 TOPTUL AIAS4010;ok;68.00;68.00;+0.00%;110.00;80.00;-27.27%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 27.3%
AIBE3017;Ключ TORX Г-подібний T-30 довгий з отвором TOPTUL AIBE3017;ok;87.00;87.00;+0.00%;140.00;110.00;-21.43%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 21.4%
AIFB0802;Набір складаний ключів TORX: T6-T25 (матеріал CRV-6150) TOPT;ok;315.00;315.00;+0.00%;540.00;370.00;-31.48%;15.27%;Шестигранные ключи;Так;*;Так;подешевшало на 31.5%
AK100-360T-380-ITALY;Компресор поршневий с ременним приводом Vрес=100л 360л/хв 38;ok;34718.00;34718.00;+0.00%;43160.00;37860.00;-12.28%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
AK50-170-ITALY;Компресор поршневий Vрес=50л 170л/хв 220V AIRKRAFT AK50-170-;ok;15220.00;15220.00;+0.00%;18940.00;16600.00;-12.35%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
AKS0210;Набір шестигранників Г-обр 2-10 мм 8 од СТАНДАРТ AKS0210;ok;47.00;47.00;+0.00%;90.00;60.00;-33.33%;15.27%;Шестигранные ключи;Ні;*;Так;відсутній у фіді + подешевшало на 33.3%
AL2500;"Лубрикатор для пневмоинструмента (масленка) 1/4"" AIRKRAFT AL";ok;249.00;249.00;+0.00%;3830.00;280.00;-92.69%;10.63%;Компоненты пневматики;Так;*;Так;подешевшало на 92.7%
ALAD2470;Ремкомплект для динамометричного ключа ANAA2470 TOPTUL ALAD2;ok;1421.00;1421.00;+0.00%;1840.00;1640.00;-10.87%;15.00%;default;Ні;*;Так;відсутній у фіді
ALAD2498;Ремкомплект для динамометричного ключа ANAA2498 TOPTUL ALAD2;ok;1421.00;1421.00;+0.00%;1790.00;1640.00;-8.38%;15.00%;default;Ні;*;Так;відсутній у фіді
ALAL1621;Ремкомплект до ANAS1621/DT-200N0 TOPTUL ALAL1621;ok;708.00;708.00;+0.00%;910.00;820.00;-9.89%;15.00%;default;Ні;*;Так;відсутній у фіді
ALAM0803;Ремкомплект до ANAU0803 TOPTUL ALAM0803;ok;461.00;461.00;+0.00%;600.00;540.00;-10.00%;15.00%;default;Ні;*;Так;відсутній у фіді
ALEA60A5;Подовжувач (під ключ AAAV) 850мм TOPTUL ALEA60A5;ok;1655.00;1655.00;+0.00%;2080.00;1910.00;-8.17%;15.14%;Торцевые головки;Ні;*;Так;відсутній у фіді
ALPHA35M-220;Підйомник 2-х стійковий 3,5т електрогідравлічний з нижньою с;ok;101200.00;101200.00;+0.00%;125750.00;116070.00;-7.70%;14.69%;Подъемники автомобильные;Ні;*;Так;відсутній у фіді
AM-983;Верстат для проточки гальмівних дисків зі зняттям і без знят;ok;121000.00;93720.00;-22.55%;150350.00;107780.00;-28.31%;15.00%;default;Так;*;Так;подешевшало на 28.3%
AMCS-10;Ваги ручні цифрові 10 kg PROTESTER AMCS-10;ok;1219.00;1219.00;+0.00%;1540.00;1410.00;-8.44%;15.00%;default;Ні;*;Так;відсутній у фіді
AMCS-20;Ваги ручні цифрові 20 kg PROTESTER AMCS-20;ok;1219.00;1219.00;+0.00%;1540.00;1410.00;-8.44%;15.00%;default;Ні;*;Так;відсутній у фіді
AMCS-30;Ваги ручні цифрові 30 kg PROTESTER AMCS-30;ok;1219.00;1219.00;+0.00%;1540.00;1410.00;-8.44%;15.00%;default;Ні;*;Так;відсутній у фіді
AMCS-50;Ваги ручні цифрові 50 kg PROTESTER AMCS-50;ok;1219.00;1219.00;+0.00%;1540.00;1410.00;-8.44%;15.00%;default;Ні;*;Так;відсутній у фіді
ANAF0803;"Динамометричний ключ 1/4"" TOPTUL 350mm 6-30Nm ANAF0803";ok;2917.00;2917.00;+0.00%;3740.00;3370.00;-9.89%;15.34%;Динамометрические ключи;Ні;*;Так;відсутній у фіді
ANAF1203;"Динамометричний ключ 3/8"" TOPTUL 350mm 6-30Nm ANAF1203";ok;2775.00;2775.00;+0.00%;3480.00;3210.00;-7.76%;15.34%;Динамометрические ключи;Ні;*;Так;відсутній у фіді
ANAF1211;"Ключ динамометричний моментний TOPTUL 3/8""х385мм 19-110Nm AN";ok;2963.00;2963.00;+0.00%;3710.00;3420.00;-7.82%;15.34%;Динамометрические ключи;Ні;*;Так;відсутній у фіді
ANAF1621;"Динамометричний ключ 1/2"" TOPTUL 535mm 40-210Nm ANAF1621";ok;3629.00;3629.00;+0.00%;4540.00;4190.00;-7.71%;15.34%;Динамометрические ключи;Ні;*;Так;відсутній у фіді
