SKU;Назва;Статус;Ціна постач. стара;Ціна постач. нова;Зміна постач. %;Наша ціна стара;Наша ціна нова;Зміна нашої %;CPA %;Джерело CPA;Наявність;Залишок;Алерт;Причина алерту
5312-08;Індикатор важiльно-зубчастий (0-0.8мм) PROTESTER 5312-08;ok;2103.00;2156.00;+2.52%;2640.00;2480.00;-6.06%;14.65%;Циферблатные индикаторы;Так;*;Ні;
5317-10;Цифровий індикатор 0-12.7 mm PROTESTER 5317-10;ok;2847.00;2847.00;+0.00%;3570.00;3240.00;-9.24%;13.71%;Толщиномеры;Так;*;Ні;
5317-25;Цифровий індикатор 0-25.4 mm PROTESTER 5317-25;ok;2983.00;2983.00;+0.00%;3730.00;3400.00;-8.85%;13.71%;Толщиномеры;Так;*;Ні;
5318-10;Цифровий індикатор 0-10 mm PROTESTER 5318-10;ok;7361.00;7361.00;+0.00%;9170.00;8380.00;-8.62%;13.71%;Толщиномеры;Так;*;Ні;
5336-160;Нутромір цифровий з індикатором 50-160мм PROTESTER 5336-160;ok;5094.00;5094.00;+0.00%;6360.00;5810.00;-8.65%;13.86%;Микрометры;Так;*;Ні;
5336-35;Нутромір цифровий з індикатором 18-35мм PROTESTER 5336-35;ok;4774.00;4774.00;+0.00%;5960.00;5440.00;-8.72%;13.86%;Микрометры;Так;*;Ні;
5336-50;Нутромір цифровий з індикатором 35-50мм PROTESTER 5336-50;ok;4774.00;4774.00;+0.00%;5960.00;5440.00;-8.72%;13.86%;Микрометры;Так;*;Ні;
5401-200;Цифрова лінійна шкала 200мм з дисплеєм PROTESTER 5401-200;ok;2882.00;2882.00;+0.00%;3610.00;3320.00;-8.03%;15.00%;default;Так;*;Ні;
5415-90B;Цифровий кутомір (інклінометр) на магнітному підставі (4х90°;ok;928.00;928.00;+0.00%;1180.00;1070.00;-9.32%;14.65%;Угломеры;Так;*;Ні;
5419-400D;Цифровий багатофункціональний вимірювач рівня (4 * 90°/400мм;ok;1566.00;1566.00;+0.00%;1970.00;1800.00;-8.63%;14.91%;Строительные уровни;Так;*;Ні;
5422-200;Цифровий кутомір з лінійкою 200мм PROTESTER 5422-200;ok;774.00;774.00;+0.00%;990.00;890.00;-10.10%;14.65%;Угломеры;Так;*;Ні;
5422-300;Цифровий кутомір з лінійкою 300мм PROTESTER 5422-300;ok;1008.00;1008.00;+0.00%;1280.00;1160.00;-9.38%;14.65%;Угломеры;Так;*;Ні;
5422-500;Цифровий кутомір з лінійкою 500мм PROTESTER 5422-500;ok;1302.00;1302.00;+0.00%;1650.00;1500.00;-9.09%;14.65%;Угломеры;Так;*;Ні;
5423-200;Цифровий кутомір з лінійкою 200мм PROTESTER 5423-200;ok;678.00;678.00;+0.00%;3700.00;780.00;-78.92%;14.65%;Угломеры;Так;*;Так;подешевшало на 78.9%
5423-300;Цифровий кутомір з лінійкою 300мм PROTESTER 5423-300;ok;1204.00;1204.00;+0.00%;1520.00;1390.00;-8.55%;14.65%;Угломеры;Так;*;Ні;
5423-500;Цифровий кутомір з лінійкою 500мм PROTESTER 5423-500;ok;1399.00;1399.00;+0.00%;1770.00;1610.00;-9.04%;14.65%;Угломеры;Так;*;Ні;
5PCS-2;Набір фарбувальний пневматичний 5 од AUARITA 5PCS-2;ok;1392.00;1392.00;+0.00%;1760.00;1580.00;-10.23%;13.20%;Пневматические краскопульты;Так;*;Ні;
65005610;Аерозольне консистентне брудовідштовхуюче мастило 500 мл S47;ok;616.00;616.00;+0.00%;790.00;710.00;-10.13%;15.00%;default;Так;*;Ні;
7212521000;Фільтр попереднього очищення (3 мкм) FQ2000 для гвинтового к;ok;8504.00;8504.00;+0.00%;10590.00;9780.00;-7.65%;15.00%;default;Ні;*;Так;відсутній у фіді
7212611000;Фільтр тонкого очищення (1 мкм - 0,1 мг/м3) FP2000 для гвинт;ok;8504.00;8504.00;+0.00%;10590.00;9780.00;-7.65%;15.00%;default;Так;*;Ні;
8016;"Степлер пневматичний під скобу (12.7;0.65*0.95;6-16) Ga21 (з";ok;1615.00;1615.00;+0.00%;3710.00;1790.00;-51.75%;10.63%;Пневматические степлеры;Так;*;Так;подешевшало на 51.8%
8016-DC407;"Степлер пневматический под скобу (12.7;0.65*0.95;6-16) Ga21 ";ok;1460.00;1460.00;+0.00%;1840.00;1620.00;-11.96%;10.63%;Пневматические степлеры;Так;*;Ні;
818C;Фарбувальний пістолет для безповітряного розпилювача з форсу;ok;3414.00;3414.00;+0.00%;4270.00;3930.00;-7.96%;15.00%;default;Так;*;Ні;
9100281000;Компресорна головка AB380 (380л/хв);ok;11770.00;11770.00;+0.00%;14650.00;13030.00;-11.06%;10.63%;Комплектующие для компрессоров;Так;*;Ні;
9995260000;Компресор 24 л поршневий 220В COSMOS 2420 CE ROSSO FIAC 9995;ok;6863.00;6863.00;+0.00%;8550.00;7490.00;-12.40%;9.05%;Компрессоры поршневые;Ні;*;Так;відсутній у фіді
A301;"Пневмогайковерт 1/2"" (1350N/m max 1700N/m; 7000об/хв) AEROPR";ok;4747.00;4747.00;+0.00%;5930.00;5240.00;-11.64%;10.38%;Пневматические гайковерты;Так;*;Ні;
A398;"Пневмогайковерт 1/2"" (850N/m max 1350N/m; 7800об/хв) AEROPRO";ok;3843.00;3843.00;+0.00%;5280.00;4250.00;-19.51%;10.38%;Пневматические гайковерты;Так;*;Ні;
A750R;Стенд для РУУК технологія 3-D 2-х камерний ПЗ Nexion (Італія;ok;365200.00;365200.00;+0.00%;417820.00;418740.00;+0.22%;14.66%;Стенды регулировки развал-схождения колес;Так;*;Ні;
A8016-21GA;"Степлер пневматичний під скобу професійний (12.7;0.65*0.95;6";ok;2735.00;2735.00;+0.00%;3430.00;3030.00;-11.66%;10.63%;Пневматические степлеры;Так;*;Ні;
AAAC0809;Ключ накидний С-подібний 8x9 (стартерний) TOPTUL AAAC0809;ok;153.00;153.00;+0.00%;220.00;180.00;-18.18%;15.08%;Накидные ключи;Так;*;Ні;
AAAC1012;Ключ накидний С-подібний 10x12 (стартерний) TOPTUL AAAC1012;ok;162.00;162.00;+0.00%;230.00;190.00;-17.39%;15.08%;Накидные ключи;Так;*;Ні;
AAAC1113;Ключ накидний С-подібний 11x13 (стартерний) TOPTUL AAAC1113;ok;184.00;184.00;+0.00%;260.00;220.00;-15.38%;15.08%;Накидные ключи;Так;*;Ні;
AAAC1417;Ключ накидний С-подібний 14x17 (стартерний) TOPTUL AAAC1417;ok;211.00;211.00;+0.00%;290.00;250.00;-13.79%;15.08%;Накидные ключи;Так;*;Ні;
AAAC1618;Ключ накидний С-подібний 16x18 (стартерний) TOPTUL AAAC1618;ok;242.00;242.00;+0.00%;330.00;280.00;-15.15%;15.08%;Накидные ключи;Так;*;Ні;
AAAC1922;Ключ накидний С-подібний 19x22 (стартерний) TOPTUL AAAC1922;ok;317.00;317.00;+0.00%;420.00;370.00;-11.90%;15.08%;Накидные ключи;Так;*;Ні;
AAAF0707;Ключ комбінований вкорочений 7мм(полірований) TOPTUL AAAF070;ok;60.00;60.00;+0.00%;100.00;70.00;-30.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 30.0%
AAAF0808;Ключ комбінований вкорочений 8мм (полірований) TOPTUL AAAF08;ok;60.00;60.00;+0.00%;100.00;70.00;-30.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 30.0%
AAAF0909;Ключ комбінований вкорочений 9мм (полірований) TOPTUL AAAF09;ok;70.00;70.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1010;Ключ комбінований вкорочений 10мм (полірований) TOPTUL AAAF1;ok;70.00;70.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1111;Ключ комбінований вкорочений 11мм (полірований) TOPTUL AAAF1;ok;73.00;73.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1212;Ключ комбінований вкорочений 12мм (полірований) TOPTUL AAAF1;ok;75.00;75.00;+0.00%;120.00;90.00;-25.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 25.0%
AAAF1313;Ключ комбінований вкорочений 13мм (полірований) TOPTUL AAAF1;ok;84.00;84.00;+0.00%;130.00;100.00;-23.08%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 23.1%
AAAF1414;Ключ комбінований вкорочений 14мм (полірований) TOPTUL AAAF1;ok;92.00;92.00;+0.00%;140.00;110.00;-21.43%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 21.4%
AAAF1515;Ключ комбінований вкорочений 15мм (полірований) TOPTUL AAAF1;ok;97.00;97.00;+0.00%;150.00;120.00;-20.00%;15.21%;Комбинированные ключи;Так;*;Так;подешевшало на 20.0%
AAAF1616;Ключ комбінований вкорочений 16мм (полірований) TOPTUL AAAF1;ok;107.00;107.00;+0.00%;160.00;130.00;-18.75%;15.21%;Комбинированные ключи;Так;*;Ні;
AAAF1717;Ключ комбінований вкорочений 17мм (полірований) TOPTUL AAAF1;ok;115.00;115.00;+0.00%;170.00;140.00;-17.65%;15.21%;Комбинированные ключи;Так;*;Ні;
AAAF1818;Ключ комбінований вкорочений 18мм (полірований) TOPTUL AAAF1;ok;126.00;126.00;+0.00%;180.00;150.00;-16.67%;15.21%;Комбинированные ключи;Так;*;Ні;
AAAF1919;Ключ комбінований вкорочений 19мм (полірований) TOPTUL AAAF1;ok;145.00;145.00;+0.00%;210.00;170.00;-19.05%;15.21%;Комбинированные ключи;Так;*;Ні;
AAAK0809;Ключ накидний укорочений (кут 45°) 8х9мм TOPTUL AAAK0809;ok;103.00;103.00;+0.00%;160.00;120.00;-25.00%;15.08%;Накидные ключи;Так;*;Так;подешевшало на 25.0%
AAAK1011;Ключ накидний укорочений (кут 45°) 10х11мм TOPTUL AAAK1011;ok;103.00;103.00;+0.00%;160.00;120.00;-25.00%;15.08%;Накидные ключи;Так;*;Так;подешевшало на 25.0%
AAAK1213;Ключ накидний укорочений (кут 45°) 12х13мм TOPTUL AAAK1213;ok;123.00;123.00;+0.00%;180.00;150.00;-16.67%;15.08%;Накидные ключи;Так;*;Ні;
AAAP0810;Ключ накидний прямий супердовгий 8х10мм посилений TOPTUL AAA;ok;274.00;274.00;+0.00%;370.00;320.00;-13.51%;15.08%;Накидные ключи;Так;*;Ні;
AAAP1012;Ключ накидний прямий супердовгий 10х12мм посилений TOPTUL AA;ok;333.00;333.00;+0.00%;440.00;390.00;-11.36%;15.08%;Накидные ключи;Так;*;Ні;
AAAP1214;Ключ накидний прямий супердовгий 12х14мм посилений TOPTUL AA;ok;414.00;414.00;+0.00%;540.00;480.00;-11.11%;15.08%;Накидные ключи;Так;*;Ні;
AAAP1417;Ключ накидний прямий супердовгий 14х17мм посилений TOPTUL AA;ok;510.00;510.00;+0.00%;660.00;590.00;-10.61%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAP1719;Ключ накидний прямий супердовгий 17х19мм посилений TOPTUL AA;ok;619.00;619.00;+0.00%;800.00;720.00;-10.00%;15.08%;Накидные ключи;Так;*;Ні;
AAAP2224;Ключ накидний прямий супердовгий 22х24мм посилений TOPTUL AA;ok;764.00;764.00;+0.00%;980.00;880.00;-10.20%;15.08%;Накидные ключи;Так;*;Ні;
AAAR2222;Ключ накидний односторонній (ударний) 22мм TOPTUL AAAR2222;ok;301.00;301.00;+0.00%;400.00;350.00;-12.50%;15.08%;Накидные ключи;Так;*;Ні;
AAAR2424;Ключ накидний односторонній (ударний) 24мм TOPTUL AAAR2424;ok;301.00;301.00;+0.00%;400.00;350.00;-12.50%;15.08%;Накидные ключи;Так;*;Ні;
AAAR2626;Ключ накидний односторонній (ударний) 26мм TOPTUL AAAR2626;ok;350.00;350.00;+0.00%;460.00;410.00;-10.87%;15.08%;Накидные ключи;Так;*;Ні;
AAAR2727;Ключ накидний односторонній (ударний) 27мм TOPTUL AAAR2727;ok;350.00;350.00;+0.00%;460.00;410.00;-10.87%;15.08%;Накидные ключи;Так;*;Ні;
AAAR3030;Ключ накидний односторонній (ударний) 30мм TOPTUL AAAR3030;ok;451.00;451.00;+0.00%;590.00;520.00;-11.86%;15.08%;Накидные ключи;Так;*;Ні;
AAAR3232;Ключ накидний односторонній (ударний) 32мм TOPTUL AAAR3232;ok;451.00;451.00;+0.00%;590.00;520.00;-11.86%;15.08%;Накидные ключи;Так;*;Ні;
AAAR3333;Ключ накидний односторонній (ударний) 33мм TOPTUL AAAR3333;ok;467.00;467.00;+0.00%;610.00;540.00;-11.48%;15.08%;Накидные ключи;Так;*;Ні;
AAAR3434;Ключ накидний односторонній (ударний) 34мм TOPTUL AAAR3434;ok;575.00;575.00;+0.00%;740.00;670.00;-9.46%;15.08%;Накидные ключи;Так;*;Ні;
AAAR3636;Ключ накидний односторонній (ударний) 36мм TOPTUL AAAR3636;ok;575.00;575.00;+0.00%;740.00;670.00;-9.46%;15.08%;Накидные ключи;Так;*;Ні;
AAAR3838;Ключ накидний односторонній (ударний) 38мм TOPTUL AAAR3838;ok;575.00;575.00;+0.00%;740.00;670.00;-9.46%;15.08%;Накидные ключи;Так;*;Ні;
AAAR4141;Ключ накидний односторонній (ударний) 41мм TOPTUL AAAR4141;ok;722.00;722.00;+0.00%;930.00;840.00;-9.68%;15.08%;Накидные ключи;Так;*;Ні;
AAAR4242;Ключ накидний односторонній (ударний) 42мм TOPTUL AAAR4242;ok;688.00;688.00;+0.00%;880.00;800.00;-9.09%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAR4646;Ключ накидний односторонній (ударний) 46мм TOPTUL AAAR4646;ok;941.00;941.00;+0.00%;1200.00;1090.00;-9.17%;15.08%;Накидные ключи;Так;*;Ні;
AAAR5050;Ключ накидний односторонній (ударний) 50мм TOPTUL AAAR5050;ok;1353.00;1353.00;+0.00%;1710.00;1560.00;-8.77%;15.08%;Накидные ключи;Так;*;Ні;
AAAR5252;Ключ накидний односторонній (ударний) 52мм TOPTUL AAAR5252;ok;1353.00;1353.00;+0.00%;1710.00;1560.00;-8.77%;15.08%;Накидные ключи;Так;*;Ні;
AAAR5555;Ключ накидний односторонній (ударний) 55мм TOPTUL AAAR5555;ok;2039.00;2039.00;+0.00%;2560.00;2350.00;-8.20%;15.08%;Накидные ключи;Так;*;Ні;
AAAR6060;Ключ накидний односторонній (ударний) 60мм TOPTUL AAAR6060;ok;2241.00;2241.00;+0.00%;2810.00;2580.00;-8.19%;15.08%;Накидные ключи;Так;*;Ні;
AAAR6565;Ключ накидний односторонній (ударний) 65мм TOPTUL AAAR6565;ok;2241.00;2241.00;+0.00%;2810.00;2580.00;-8.19%;15.08%;Накидные ключи;Так;*;Ні;
AAAR7070;Ключ накидний односторонній (ударний) 70мм TOPTUL AAAR7070;ok;5717.00;5717.00;+0.00%;7130.00;6580.00;-7.71%;15.08%;Накидные ключи;Так;*;Ні;
AAAR7575;Ключ накидний односторонній (ударний) 75мм TOPTUL AAAR7575;ok;5717.00;5717.00;+0.00%;7130.00;6580.00;-7.71%;15.08%;Накидные ключи;Так;*;Ні;
AAAR8080;Ключ накидний односторонній (ударний) 80мм TOPTUL AAAR8080;ok;8449.00;8449.00;+0.00%;10520.00;9730.00;-7.51%;15.08%;Накидные ключи;Так;*;Ні;
AAAR8585;Ключ накидний односторонній (ударний) 85мм (шт) TOPTUL AAAR8;ok;8151.00;8151.00;+0.00%;10150.00;9390.00;-7.49%;15.08%;Накидные ключи;Так;*;Ні;
AAAR9090;Ключ накидний односторонній (ударний) 90мм TOPTUL AAAR9090;ok;11432.00;11432.00;+0.00%;14230.00;13160.00;-7.52%;15.08%;Накидные ключи;Ні;*;Так;відсутній у фіді
AAAR9595;Ключ накидний односторонній (ударний) 95мм TOPTUL AAAR9595;ok;11432.00;11432.00;+0.00%;14230.00;13160.00;-7.52%;15.08%;Накидные ключи;Так;*;Ні;
AAARA0A0;Ключ накидний односторонній (ударний) 100мм TOPTUL AAARA0A0;ok;15107.00;15107.00;+0.00%;18800.00;17390.00;-7.50%;15.08%;Накидные ключи;Так;*;Ні;
AAARA5A5;Ключ накидний односторонній (ударний) 105мм TOPTUL AAARA5A5;ok;15107.00;15107.00;+0.00%;18800.00;17390.00;-7.50%;15.08%;Накидные ключи;Так;*;Ні;
AAAS1717;Ключ накидний односторонній (ударний під трубу) кут 45° 17мм;ok;370.00;370.00;+0.00%;490.00;430.00;-12.24%;15.08%;Накидные ключи;Так;*;Ні;
AAAS1919;Ключ накидний односторонній (ударний під трубу) кут 45° 19мм;ok;370.00;370.00;+0.00%;490.00;430.00;-12.24%;15.08%;Накидные ключи;Так;*;Ні;
AAAS2121;Ключ накидний односторонній (ударний під трубу) кут 45° 21мм;ok;462.00;462.00;+0.00%;600.00;540.00;-10.00%;15.08%;Накидные ключи;Так;*;Ні;
AAAS2222;Ключ накидний односторонній (ударний під трубу) кут 45° 22мм;ok;462.00;462.00;+0.00%;600.00;540.00;-10.00%;15.08%;Накидные ключи;Так;*;Ні;
AAAS2323;Ключ накидний односторонній (ударний під трубу) кут 45° 23мм;ok;462.00;462.00;+0.00%;600.00;540.00;-10.00%;15.08%;Накидные ключи;Так;*;Ні;
AAAS2424;Ключ накидний односторонній (ударний під трубу) кут 45° 24мм;ok;607.00;607.00;+0.00%;780.00;700.00;-10.26%;15.08%;Накидные ключи;Так;*;Ні;
AAAS2727;Ключ накидний односторонній (ударний під трубу) кут 45° 27мм;ok;682.00;682.00;+0.00%;880.00;790.00;-10.23%;15.08%;Накидные ключи;Так;*;Ні;
AAAS3030;Ключ накидний односторонній (ударний під трубу) кут 45° 30мм;ok;819.00;819.00;+0.00%;1050.00;950.00;-9.52%;15.08%;Накидные ключи;Так;*;Ні;
AAAS3232;Ключ накидний односторонній (ударний під трубу) кут 45° 32мм;ok;819.00;819.00;+0.00%;1050.00;950.00;-9.52%;15.08%;Накидные ключи;Так;*;Ні;
AAAS3636;Ключ накидний односторонній (ударний під трубу) кут 45° 36мм;ok;1268.00;1268.00;+0.00%;1600.00;1460.00;-8.75%;15.08%;Накидные ключи;Так;*;Ні;
AAAS4141;Ключ накидний односторонній (ударний під трубу) кут 45° 41мм;ok;1541.00;1541.00;+0.00%;1940.00;1780.00;-8.25%;15.08%;Накидные ключи;Так;*;Ні;
AAAS4343;Ключ накидний односторонній (ударний під трубу) кут 45° 43мм;ok;2028.00;2028.00;+0.00%;2550.00;2340.00;-8.24%;15.08%;Накидные ключи;Так;*;Ні;
AAAS4646;Ключ накидний односторонній (ударний під трубу) кут 45° 46мм;ok;2028.00;2028.00;+0.00%;2550.00;2340.00;-8.24%;15.08%;Накидные ключи;Так;*;Ні;
AAAS5050;Ключ накидний односторонній (ударний під трубу) кут 45° 50мм;ok;2905.00;2905.00;+0.00%;3640.00;3350.00;-7.97%;15.08%;Накидные ключи;Так;*;Ні;
AAAS5555;Ключ накидний односторонній (ударний під трубу) кут 45°55мм ;ok;2855.00;2855.00;+0.00%;3580.00;3290.00;-8.10%;15.08%;Накидные ключи;Так;*;Ні;
AAAS6060;Ключ накидний односторонній (ударний під трубу) кут 45° 60мм;ok;4269.00;4269.00;+0.00%;5330.00;4920.00;-7.69%;15.08%;Накидные ключи;Так;*;Ні;
AAAS6565;Ключ накидний односторонній (ударний під трубу) кут 45° 65мм;ok;4194.00;4194.00;+0.00%;5240.00;4830.00;-7.82%;15.08%;Накидные ключи;Так;*;Ні;
AAAT0808V4;Ключ ріжковий односторонній 8мм 1000V VDE TOPTUL AAAT0808V4;ok;531.00;531.00;+0.00%;690.00;620.00;-10.14%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT0909V4;Ключ ріжковий односторонній 9мм 1000V VDE TOPTUL AAAT0909V4;ok;531.00;531.00;+0.00%;690.00;620.00;-10.14%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1010V4;Ключ ріжковий односторонній 10мм 1000V VDE TOPTUL AAAT1010V4;ok;546.00;546.00;+0.00%;710.00;630.00;-11.27%;15.21%;Рожковые ключи;Ні;*;Так;відсутній у фіді
AAAT1111V4;Ключ ріжковий односторонній 11мм 1000V VDE TOPTUL AAAT1111V4;ok;588.00;588.00;+0.00%;760.00;680.00;-10.53%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1212V4;Ключ ріжковий односторонній 12мм 1000V VDE TOPTUL AAAT1212V4;ok;588.00;588.00;+0.00%;760.00;680.00;-10.53%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1313V4;Ключ ріжковий односторонній 13мм 1000V VDE TOPTUL AAAT1313V4;ok;621.00;621.00;+0.00%;800.00;720.00;-10.00%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1414V4;Ключ ріжковий односторонній 14мм 1000V VDE TOPTUL AAAT1414V4;ok;621.00;621.00;+0.00%;800.00;720.00;-10.00%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1515V4;Ключ ріжковий односторонній 15мм 1000V VDE TOPTUL AAAT1515V4;ok;687.00;687.00;+0.00%;880.00;800.00;-9.09%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1616V4;Ключ ріжковий односторонній 16мм 1000V VDE TOPTUL AAAT1616V4;ok;687.00;687.00;+0.00%;880.00;800.00;-9.09%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1717;Ключ ріжковий односторонній (посилений) 17мм TOPTUL AAAT1717;ok;211.00;211.00;+0.00%;480.00;250.00;-47.92%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 47.9%
AAAT1717V4;Ключ ріжковий односторонній 17мм 1000V VDE TOPTUL AAAT1717V4;ok;687.00;687.00;+0.00%;880.00;800.00;-9.09%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1818V4;Ключ ріжковий односторонній 18мм 1000V VDE TOPTUL AAAT1818V4;ok;782.00;782.00;+0.00%;1000.00;910.00;-9.00%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT1919;Ключ ріжковий односторонній (посилений) 19мм TOPTUL AAAT1919;ok;213.00;213.00;+0.00%;480.00;250.00;-47.92%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 47.9%
AAAT1919V4;Ключ ріжковий односторонній 19мм 1000V VDE TOPTUL AAAT1919V4;ok;782.00;782.00;+0.00%;1000.00;910.00;-9.00%;15.21%;Рожковые ключи;Так;*;Ні;
AAAT2121;Ключ ріжковий односторонній (посилений) 21мм TOPTUL AAAT2121;ok;213.00;213.00;+0.00%;570.00;250.00;-56.14%;15.21%;Рожковые ключи;Так;*;Так;подешевшало на 56.1%
