supplier_cat_id	supplier_cat	offers	rz_id	rz_name	tier	competitor_top	note
95118364	Панелі цегла з декором	22	4629548	Декоративні панелі	confirmed	Декоративні панелі 166/166	
105	Панелі-рейки	18	4629548	Декоративні панелі	confirmed	Декоративні панелі 139/143	
95118349	Плита 1220*2440	19	4629548	Декоративні панелі	confirmed	Декоративні панелі 88/146	
95118350	Плита 600*600	16	4629548	Декоративні панелі	manual	Декоративні панелі 91/169	54% проти 41% ПВХ покриття; настінна плита
130	Плівка віконна 600*10000мм	16	4647678	Плівки на вікна	confirmed	Плівки на вікна 120/148	
129	Плівка віконна 600*3000мм	15	4647678	Плівки на вікна	confirmed	Плівки на вікна 113/138	
95118362	Плівка на самоклейці 45см*10м	60	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 188/191	
116	Плівка на самоклейці 60см*10м	15	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 134/137	
115	Плівка на самоклейці 60см*3м	15	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 140/142	
95118360	Плівка на самоклейці 67см*10м	4	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 174/177	
95118361	Плівка на самоклейці 90см*10м	1	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 56/57	
95118290	Плінтуси	14	4640952	Плінтуси	confirmed	Плінтуси 167/175	
137	Покриття вінілове в рулоні самоклеюче 3D рейки 600*3000мм	11	4629548	Декоративні панелі	manual	Декоративні панелі 43/80	54%; як сусідні 3D рейки 600×600 (80%)
121	Покриття вінілове самоклеюче 3D рейки 600*600мм	23	4629548	Декоративні панелі	confirmed	Декоративні панелі 101/127	
95118321	Поліуретанова плитка	8	4629548	Декоративні панелі	confirmed	Декоративні панелі 131/174	
95118356	Підлоговий вінил у рулонах	17	4641184	ПВХ покриття	confirmed	ПВХ покриття 97/141	
95118329	Підлогові покриття пазли	22	4646656	Гумові покриття	owner	Гумові покриття 95/194	пазли: гумові покриття 49 / ігрові килимки 34 — різні покупці → рішення власника 11.09: рекомендований варіант
190	Рейки 110х10х2900мм	2	4629548	Декоративні панелі	confirmed	Декоративні панелі 72/72	
95118352	Рейки 150*9*3000мм	7	4629548	Декоративні панелі	confirmed	Декоративні панелі 145/149	
95118353	Рейки 165*23*3000мм	19	4629548	Декоративні панелі	confirmed	Декоративні панелі 233/236	
187	Рейки 200х11х2900мм	6	4629548	Декоративні панелі	confirmed	Декоративні панелі 102/102	
186	Рейки 200х27х2900мм	5	4629548	Декоративні панелі	confirmed	Декоративні панелі 108/108	
189	Рейки 205х14х2900мм	6	4629548	Декоративні панелі	confirmed	Декоративні панелі 101/101	
95118351	Рейки PS 2900*120мм	32	4629548	Декоративні панелі	confirmed	Декоративні панелі 206/210	
107	Рейки нестандартні	7	4629548	Декоративні панелі	confirmed	Декоративні панелі 169/171	
95118333	Садові меблі	7	3130405	Садові меблі	manual	Садові меблі 36/63	57%, решта «Складані меблі»; постачальник теж називає садовими
185	Самоклеюча гнучка штукатурка 600*600*2,5мм	8	4629548	Декоративні панелі	confirmed	Декоративні панелі 75/117	
184	Самоклеюча гнучка штукатурка в рулоні 600*3000*2,5мм	10	4629548	Декоративні панелі	manual	Декоративні панелі 45/106	42/42 з плівками; як сусідня штукатурка 600×600 (64%)
138	Сатин самоклеючий в рулоні	8	4648788	Самоклейні плівки	confirmed	Самоклейні плівки 57/68	
106	Стелажі	7	4629178	Стелажі та консолі	confirmed	Стелажі та консолі 92/136	
195	Столики	9	2798167	Журнальні столи	confirmed	Журнальні столи 14/17	
119	Фігурні дзеркальні наклейки	32	4640928	Наклейки на стіну	confirmed	Наклейки на стіну 97/139	
95118370	Цегла 3-4 мм	12	4629548	Декоративні панелі	confirmed	Декоративні панелі 230/236	
95118365	Цегла 5-6 мм	18	4629548	Декоративні панелі	confirmed	Декоративні панелі 211/211	
95118366	Цегла 7 мм	6	4629548	Декоративні панелі	confirmed	Декоративні панелі 207/207	
95118294	Шпалери на самоклейці	26	4657848	Вінілові шпалери	confirmed	Вінілові шпалери 110/174	
95118359	Шпалери на самоклейці Розпродаж	1			review	Натуральні шпалери 1/2	розпродаж/уцінка — розділ «Знижені в ціні», не звичайна категорія
95118292	дитячі манікюрні набори	1	267137	Речі для догляду	confirmed	Речі для догляду 30/39	
