article	category	price	available	cards	rejected	sellers	min	median	max	cheaper	cheapest_seller	rz_cats	name	err
SW-00002305	Декоративні панелі	65.0	True	63	3	37	56	71	112	2	3DDD	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00002305)	
SW-00002708	Декоративні панелі	440.0	True	11	1	7	420	460	506	2	Секрети шопінгу	4629548	Звукоізоляційна панель Sticker Wall 600х600х9мм Сірий граніт (SW-00002708)	
SW-00000669	Декоративні панелі	90.0	True	62	3	30	80	95.5	181	4	DomLoft	4629548,4641184,4648788	Декоративна ПВХ плитка на самоклейці Sticker Wall 300х300х5мм Квадрат СПП-602 (SW-00000669)	
SW-00002329	Декоративні панелі	52.0	False	45	1	3	94	111	112	0	Online Shop	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00002329)	
SW-00002265	Декоративні панелі	369.0	True	63	1	35	351	413	653	1	3DDD	4629548	Панель стінова в рулоні 3D Sticker Wall 700мм*3.08м*3мм зірки (SW-00002265)	
SW-00000580	Декоративні панелі	120.0	True	36	2	20	101	120.0	220	2	Секрети шопінгу	4629548,4641184	Декоративна ПВХ панель Sticker Wall 960х480х4мм (SW-00000580)	
SW-00001186	Декоративні панелі	89.0	True	22	1	9	72	102	189	2	3DDD	4629548,4641184,4648788,4659004	Самоклеюча поліуретанова плитка чорна цегла Sticker Wall 305х305х1мм (SW-00001186)	
SW-00001621	Декоративні панелі	220.0	True	58	1	29	192	240	499	1	3DDD	4629548,4641184,4648788,4659004	Декоративна ПВХ плита Sticker Wall 600х600х3мм Онікс (SW-00001621)	
SW-00000873	Декоративні панелі	379.0	True	15	1	11	351	418	496	1	3DDD	4629548	Самоклеюча 3D панель фігури в рулоні Sticker Wall 2800x700x3мм R114-3 (SW-00000873)	
SW-00001623	Декоративні панелі	360.0	True	41	0	25	296	376	606	4	APEYRON	4629548,4641184,4648560,4659004	Декоративна ПВХ плита Sticker Wall 600х600х3мм Білий грецький мармур (SW-00001623)	
SW-00001676	Декоративні панелі	59.0	True	40	2	23	59	65	109	0	LoftWall	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00001676)	
SW-00001910	Декоративні панелі	70.0	True	49	1	29	65	81	165	1	Декостра	4629548	Панель стінова 3D Sticker Wall 700мм*770мм*2мм Коричневий (SW-00001910)	
SW-00001362	Декоративні панелі	79.0	True	13	1	8	79	79.0	182	0	LoftWall	4629548	Самоклеюча 3D панель Sticker Wall 700х770х4мм Блакитні кульбаби 322 (SW-00001362)	
SW-00001868	Декоративні панелі	428.0	True	23	1	13	395	451.0	578	1	3DDD	4629548	Рейка декоративна WPC стінова Sticker Wall 3000х150х9мм Капучино (SW-00001868)	
SW-00001138	Декоративні панелі	47.0	True	63	3	35	41	52	147	1	3DDD	4629548,4641184,4648788	Декоративна ПВХ плитка на самоклейці Sticker Wall 300х300х5мм Масляні фарби СПП-608 (SW-00001138)	
SW-00001375	Декоративні панелі	105.0	True	20	1	12	105	118.5	205	0	FOUKS	4629548	Самоклеюча 3D панель Sticker Wall 700x770x5мм Бежева Катиринославська цегла (SW-00001375)	
SW-00001556	Декоративні панелі	90.0	True	32	2	19	89	90	146	2	DomLoft	4629548,4641184	Декоративна ПВХ панель Sticker Wall 960х480х4мм (SW-00001556)	
SW-00002907	Декоративні панелі	893.0	True	27	1	20	786	1027.0	2256	1	3DDD	4629548,4641184,4648788,4657848	Покриття вінілове самоклеюче 3D рейки Sticker Wall 600х3000х3мм Тік сивий (SW-00002907)	
SW-00002303	Декоративні панелі	59.0	True	64	2	36	49	65.0	115	3	Декостра	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00002303)	
SW-00000673	Декоративні панелі	52.0	True	68	3	34	46	55.0	152	1	3DDD	4629548,4641184,4648788	Декоративна ПВХ плитка на самоклейці Sticker Wall 275х285х4мм Соти СПП-504 (SW-00000673)	
SW-00001751	Декоративні панелі	446.0	True	23	0	15	410	491	648	1	3DDD	4629548	Рейка декоративна PS Sticker Wall 2900х118х12мм Сірий мармур (SW-00001751)	
SW-00001862	Декоративні панелі	448.0	True	18	0	12	448	494.0	734	0	FOUKS	4629548	Рейка декоративна WPC стінова Sticker Wall 3000х165х23мм Мармур (SW-00001862)	
SW-00000231	Декоративні панелі	58.0	True	22	1	12	52	65.5	158	1	3DDD	4629548	Панель 3D самоклеюча Sticker Wall 700х770х3мм цегла Рожевий 004-3 (SW-00000231)	
SW-00000168	Декоративні панелі	79.0	True	24	1	11	79	79	182	0	Швидко&Зручно	4629548	Декоративна 3D панель самоклейка Sticker Wall 700х770х5мм Глибокий жовтий цегла 068 (SW-00000168)	
SW-00001907	Декоративні панелі	62.0	True	23	1	13	54	65	157	2	3DDD	4629548	Панель стінова 3D Sticker Wall 700х770х2мм Пудра (SW-00001907)	
SW-00001625	Декоративні панелі	360.0	True	54	0	29	306	383	606	2	3DDD	4629548,4641184,4648788,4659004	Декоративна ПВХ плита Sticker Wall 600х600х3мм Чорний мармур (SW-00001625)	
SW-00002198	Декоративні панелі	280.0	True	47	0	25	240	310	475	3	3DDD	4629548,4641184,4648788,4657848	Покриття вінілове самоклеюче 3D рейки Sticker Wall 600х600х2.8мм Кедр срібний (SW-00002198)	
SW-00002316	Декоративні панелі	52.0	True	37	2	19	46	55	112	1	3DDD	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча стінова PET плитка Sticker Wall 600х300х2мм (SW-00002316)	
SW-00000582	Декоративні панелі	102.0	True	34	2	22	84	102.0	202	3	LoftWall	4629548,4641184	Декоративна ПВХ панель Sticker Wall 960х480х4мм (SW-00000582)	
SW-00001195	Декоративні панелі	2040.0	True	20	2	12	1888	2222.0	2754	2	3DDD	4629548	Самоклеюча 3D панель в рулоні Sticker Wall 19600x700x3мм Бежева Цегла R009-3-20 (SW-00001195)	
SW-00001165	Декоративні панелі	69.0	True	18	2	9	69	76	169	0	FOUKS	4629548	Самоклеюча 3D панель Sticker Wall 700х770х3мм Катиринославська ценла 48-3 (SW-00001165)	
SW-00001394	Декоративні панелі	310.0	True	18	1	11	278	341	549	1	3DDD	4629548	Самоклеюча 3D панель в рулоні Sticker Wall 3080x700x3мм Бежева Цегла R009-3 (SW-00001394)	
SW-00000637	Декоративні панелі	79.0	False	23	1	3	82	92	182	0	RSI	4629548	Декоративна 3D панель самоклейка Sticker Wall 700х770х5мм Мармур коричневий з золотом цегла 361 (SW-00000637)	
SW-00001533	Декоративні панелі	560.0	True	20	1	16	475	703.5	849	1	DomLoft	4629548	Рейка декоративна WPC стінова Sticker Wall 3000х165х23мм Білий (SW-00001533)	
SW-00002095	Гумові покриття	180.0	True	35	2	20	179	188.0	278	1	K-Warehouse	102848,142254,4625993,4629548,4641184,4646656,4648788,4659004,4674142	Підлога-пазл плюшевий Sticker Wall 60х60х1см Салатовий (SW-00002095)	
SW-00002082	Гумові покриття	63.0	True	38	3	21	54	68	113	2	3DDD	102848,142254,4625993,4629548,4641184,4646656,4648788,4659004,4674142	Підлога-пазл плюшевий Sticker Wall 30х30х1см Коричневий (SW-00002082)	
SW-00001189	Ігрові килимки	870.0	True	6	0	4	780	920.0	1302	1	3DDD	142254,4674142	Дитячий складний термокилимок однотонний Sticker Wall 2000х1500х10мм Коричневий 298 (SW-00001189)	
SW-00000284	ПВХ покриття	80.0	True	57	4	32	69	84.0	143	2	DomLoft	4625993,4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча вінілова плитка Sticker Wall 152.4х914.4х1.5мм Попелясте дерево СВП-003 Матова (SW-00000284)	
SW-00000285	ПВХ покриття	64.0	True	63	4	33	58	72	143	1	3DDD	4625993,4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча вінілова плитка Sticker Wall 152.4х914.4х1.5мм Під старину СВП-005 Матова (SW-00000285)	
SW-00001132	ПВХ покриття	64.0	True	57	4	32	58	69.5	164	1	3DDD	4625993,4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча вінілова плитка Sticker Wall 152.4х914.4х1.5мм Дика груша СВП-013 Матова (SW-00001132)	
SW-00001821	ПВХ покриття	790.0	True	66	1	41	708	909	1449	1	3DDD	4625988,4625998,4629548,4641184,4648788,4657848	Підлогове вінілове покриття самоклеюче в рулоні Sticker Wall 3000х600х1.5мм (SW-00001821)	
SW-00001130	ПВХ покриття	64.0	True	42	3	20	64	71.0	180	0	Днепрлюкс	4625993,4629548,4641184,4648788,4658998,4659004	Самоклеюча вінілова плитка Sticker Wall 152.4х914.4х1.5мм Венге СВП-011 Матова (SW-00001130)	
SW-00000226	Речі для догляду	40.0	True	12	0	6	40	42.0	84	0	RSI	267137,4660475,99674	Манікюрний набір Ведмедик Рожевий Mat4baby (SW-00000226)	
SW-00001159	Вінілові шпалери	333.0	True	22	1	14	313	370	799	2	3DDD	4641184,4648788,4657842,4657848	Самоклеючі шпалери Sticker Wall 2800х500х1.5мм Світло-салатові (SW-00001159)	
SW-00001786	Вінілові шпалери	315.0	True	19	1	12	315	377.5	725	0	3D Loft	4648788,4657842,4657848	Самоклеючі шпалери Sticker Wall 2800х500х1.5мм Коричнева катериновлавська цегла (SW-00001786)	
SW-00001523	Дзеркала	240.0	False	29	0	2	290	295.0	300	0	DomLoft	4627318,4629548,4630668,4640928	Дзеркало акрилове самоклеюче Sticker Wall 300х400х2мм (SW-00001523)	
SW-00000756	Плінтуси	110.0	True	28	1	20	96	135.0	220	1	3DDD	4640952	Гнучкий самоклеючий плінтус Sticker Wall 2330х85х5мм Срібне дерево (SW-00000756)	
SW-00001181	Самоклейні плівки	790.0	True	37	2	24	708	895.5	1190	1	3DDD	4629548,4641184,4648788,4657848,4658998,4659004	Самоклеюча вінілова плитка в рулоні Sticker Wall 600х3000х2мм Молочна Мат (SW-00001181)	
SW-00002411	Самоклейні плівки	190.0	True	12	1	6	190	228.5	300	0	LFcolor	4648788	Плівка на самоклейці Sticker Wall 60см х 3м (SW-00002411)	
SW-00002910	Самоклейні плівки	170.0	True	20	2	14	170	206.5	549	0	Декостра	4629548,4648788,4657848	Самоклеючий Сатин у рулоні Sticker Wall 1.45м х1м х 0.3мм Бежевий (SW-00002910)	
SW-00002434	Самоклейні плівки	552.0	False	28	0	1	1188	1188	1188	0	PRIMAVERA_pro	4629548,4641184,4648788,4657848,4659004	Самоклеюча стінова PET плитка у рулоні Sticker Wall 600х3000х2мм (SW-00002434)	
SW-00001267	Самоклейні плівки	205.0	True	15	1	8	205	256.5	549	0	LFcolor	4648788	Самоклеюча плівка Sticker Wall 0.45х10м х 0.07мм Молоде дерево (SW-00001267)	
SW-00002426	Самоклейні плівки	552.0	True	44	2	28	480	607.0	1188	1	3DDD	4629548,4641184,4648788,4657848,4659004	Самоклеюча стінова PET плитка у рулоні Sticker Wall 600х3000х2мм (SW-00002426)	
SW-00002386	Самоклейні плівки	580.0	True	15	1	10	549	625.0	828	1	Юзон	4648788	Плівка на самоклейці Sticker Wall 60см х 10м (SW-00002386)	
SW-00001281	Самоклейні плівки	280.0	False	12	1	3	280	359	460	0	RSI	4648788	Самоклеюча плівка Sticker Wall 0.45х10м х 0.07мм Чорний мармур класичний (SW-00001281)	
SW-00001217	Самоклейні плівки	179.0	True	14	1	8	179	201.5	549	0	LFcolor	4648788	Самоклеюча плівка Sticker Wall 0.45х10м х 0.07мм Сапфірова (SW-00001217)	
SW-00001221	Самоклейні плівки	205.0	True	13	1	7	205	236	549	0	PROStikerUa	4648788	Самоклеюча плівка Sticker Wall 0.45х10м х 0.07мм Срібло (SW-00001221)	
SW-00001689	Самоклейні плівки	690.0	False	45	1	3	690	826	850	0	Декостра	4629548,4641184,4648788,4657848,4659004	Самоклеюча стінова PET плитка у рулоні Sticker Wall 600х3000х2мм (SW-00001689)	
SW-00001697	Самоклейні плівки	690.0	True	50	1	33	590	759	1026	3	Декостра	4629548,4641184,4648788,4657848,4657854,4659004	Самоклеюча стінова PET плитка у рулоні Sticker Wall 600х3000х2мм (SW-00001697)	
SW-00001238	Самоклейні плівки	340.0	True	15	1	9	340	391	549	0	PROStikerUa	4648788	Самоклеюча плівка Sticker Wall 0.45х10м х 0.07мм Сірий камінь (SW-00001238)	
SW-00002917	Самоклейні плівки	170.0	True	22	1	14	170	206.5	499	0	Декостра	4629548,4648788,4657842,4657848	Самоклеюча Сатин у рулоні Sticker Wall 1.45м х1м х 0.3мм Чорний (SW-00002917)	
SW-00002387	Самоклейні плівки	580.0	True	13	2	7	580	648	783	0	LoftWall	4648788	Плівка на самоклейці Sticker Wall 60см х 10м (SW-00002387)	
SW-00002488	Ковролін	43.0	True	44	2	24	41	46.5	145	1	K-Warehouse	4625988,4629548,4641184,4646656,4648788	Самоклеюча плитка під ковролін моко Sticker Wall 300х300х4.5мм (SW-00002488)	
SW-00002711	Ковролін	50.0	True	37	2	24	40	52.0	150	4	3DDD	4625988,4629548,4641184,4646656,4648788	Плитка під ковролін без клейового шару Sticker Wall 500х500х3мм Темно-Сірий (SW-00002711)	
SW-00001419	Ковролін	33.0	True	54	2	31	30	35	83	2	3DDD	4625988,4629548,4641184,4648788	Самоклеюча плитка під ковролін синя Sticker Wall 300х300х4.5мм (SW-00001419)	
SW-00002682	Комплектуючі для оздоблення	400.0	True	45	2	25	336	418	665	4	3DDD	4629548,4633857,4640928,4640944,4640952,4641184,4644256,4648788,4652429,4654600	Молдинг Sticker Wall 5000х10х7мм Чорний (SW-00002682)	
SW-00002676	Комплектуючі для оздоблення	850.0	True	45	2	26	696	873.0	1259	6	3DDD	4629548,4633857,4640928,4640944,4640952,4641184,4644256,4648788,4652429,4654600	Молдинг Sticker Wall 5000х30х9.5 мм Чорний (SW-00002676)	
SW-00001610	Садові меблі	800.0	True	6	0	4	880	973.0	1238	0	TechnoPrime	3130405,82672	Складний стілець Sticker Wall 46х42.5х86см Білий (SW-00001610)	
SW-00001886	Килими	370.0	True	54	1	34	300	406.0	699	5	RSI	142254	Вологопоглинаючий килимок Sticker Wall 500х800х3мм (SW-00001886)	
SW-00002545	Килими	400.0	True	32	0	21	366	439	799	1	3DDD	142254	Вологопоглинаючий килимок Sticker Wall 500х800х3мм (SW-00002545)	
SW-00002557	Килими	92.0	True	49	1	26	83	100.0	449	1	3DDD	142254	Вологопоглинаючий килимок Sticker Wall 400х600х3мм (SW-00002557)	
SW-00001713	Плитка для вулиці	195.0	True	40	3	27	180	218	299	2	Декостра	4625415,4629548,4641072,4641184,4648788,4650081,4659004,4659010	Композитна плитка ДПК Sticker Wall 300х300х23мм Вугілля (SW-00001713)	
SW-00002259	Стелажі та консолі	1691.0	True	34	0	19	1562	1780	4699	1	3DDD	4629178,4641784,4648182,4652744	Стелаж універсальний для зберігання триярусний Sticker Wall 60х30х77см (SW-00002259)	
SW-00002108	Етажерки	650.0	False	8	0	1	650	650	650	0	Декостра	4629178,4648806,4652744,4652751	Етажерка мобільна чотириярусна універсальна пластикова Sticker Wall 41х25х101см Чорна (SW-00002108)	
SW-00002158	Плівки на вікна	850.0	True	9	1	8	784	864.0	1214	1	Секрети шопінгу	4647678,4648788	Плівка віконна Sticker Wall 600*10000мм (SW-00002158)	
SW-00002164	Плівки на вікна	250.0	True	10	1	8	250	273.0	360	0	Декостра	4629548,4647678,4648788	Плівка віконна Sticker Wall 600*3000мм (SW-00002164)	
SW-00002291	Надувні меблі й аксесуари	3520.0	True	10	0	7	3520	3872	6519	0	Wide Range	3130405,83646	Надувне крісло Коричневе Sticker Wall (SW-00002291)	
SW-00002366	Плитка мозаїка	115.0	True	57	1	32	105	130.5	215	1	Секрети шопінгу	4629548,4630668,4641184,4648788,4660237	Мозаїка з декоративного скла Sticker Wall 298х298х4.5мм Шахматка (SW-00002366)	
SW-00002420	Контейнери та коробки для зберігання	455.0	True	39	2	24	420	502.5	1449	1	3DDD	4633617,4641728,4641744,4652681,4652702	Контейнер для зберігання Sticker Wall 45.5х38х31см Білий (SW-00002420)	
SW-00002495	Наклейки на стіну	170.0	True	45	2	25	149	182	749	1	3DDD	4627374,4630668,4640928,4641184,4648788,4672333	Дзеркальний декор акриловий самоклеючий Love срібло 11шт Sticker Wall (SW-00002495)	
SW-00002526	Наклейки на стіну	352.0	True	38	2	20	307	377.5	699	1	3DDD	4629548,4630668,4640928,4641184,4648788	Дзеркальний декор акриловий самоклеючий срібло 6 шт Sticker Wall (SW-00002526)	
SW-00002523	Наклейки на стіну	159.0	True	48	1	23	142	177	399	1	3DDD	4630668,4640928,4641184,4648788	Дзеркальний декор акриловий самоклеючий срібло 24шт Sticker Wall (SW-00002523)	
SW-00003361	Журнальні столи	1300.0	True	6	0	5	1407	1625	1751	0	МАЙЯ	155285,183690,2798167	Столик приставний для ноутбука Sticker Wall 60х40х90см (SW-00003361)	
