cat	catName	code	attr	type	source	value	sku
9484	Анальні пробки	11098	Тип живлення	select	none		SO1998
9484	Анальні пробки	12731	Матеріал	select	none		SO1998
9484	Анальні пробки	12891	Форма	select	prom-inval	конусна	SO1998
9484	Анальні пробки	10173	Підігрів	select	binary		SO1998
9632	Олія для еротичного масажу	15742	Об’єм	select	prom-inval	59	SO1851
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO1851
9470	Ерекційні кільця	13037	Конструкція	select	db-inval	односторонні	AD30649
9470	Ерекційні кільця	3369	Призначення	select	db-inval	кліторні	AD30649
9628	Засоби для орального сексу	15749	Збуджуючий	select	binary		SO2367
9628	Засоби для орального сексу	15766	Аромат	select	none		SO2367
9628	Засоби для орального сексу	15768	Посилення чутливості	select	binary		SO2367
9628	Засоби для орального сексу	15769	Посилення слиновиділення	select	binary		SO2367
9628	Засоби для орального сексу	15770	Віброефект	select	binary		SO2367
9628	Засоби для орального сексу	15743	Стать	select	none		SO2367
9628	Засоби для орального сексу	15745	Зігріваючий	select	binary		SO2367
9628	Засоби для орального сексу	15750	Зволожуючий	select	binary		SO2367
9628	Засоби для орального сексу	15763	Тип	select	text	гель	SO2367
9628	Засоби для орального сексу	15765	Смак	select	none		SO2367
9628	Засоби для орального сексу	15771	Сумісність з презервативами	select	binary		SO2367
9628	Засоби для орального сексу	15772	Сумісність з секс-іграшками	select	binary		SO2367
9628	Засоби для орального сексу	15773	Веганський	select	binary		SO2367
9628	Засоби для орального сексу	15774	Тип упаковки	select	none		SO2367
9628	Засоби для орального сексу	15747	Розслаблюючий	select	binary		SO2367
9632	Олія для еротичного масажу	15744	Аромат	select	db	без аромату	SO2503
9632	Олія для еротичного масажу	15743	Стать	select	db	унісекс	SO2503
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	100	SO2503
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2503
9550	Анальний душ	78	Колір виробника	multiselect	text-many	224, black, він	NA001
9550	Анальний душ	757	Довжина шланга	float	none		NA001
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		HM-VP
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		HM-VP
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	none		HM-VP
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		HM-VP
9470	Ерекційні кільця	13037	Конструкція	select	prom-inval	односторонні	AD30393
9470	Ерекційні кільця	3369	Призначення	select	prom-inval	кліторні	AD30393
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		ME041
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		ME041
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	none		ME041
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		ME041
9632	Олія для еротичного масажу	15742	Об’єм	select	prom-inval	59	SO1839
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO1839
9630	Свічки для інтимного масажу	15742	Об’єм	select	db-inval	80	SO1848
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO1848
9630	Свічки для інтимного масажу	15761	Час горіння	select	db	до 3 годин	SO1848
9630	Свічки для інтимного масажу	15762	Тип воску	select	db	комбінований	SO1848
9630	Свічки для інтимного масажу	15744	Аромат	select	db	полуниця	SO1848
9630	Свічки для інтимного масажу	15743	Стать	select	db	унісекс	SO1848
9468	Секс-ляльки	5223	Анальний отвір	select	binary		SO1263
9468	Секс-ляльки	5414	Тип фігури	select	none		SO1263
9468	Секс-ляльки	6092	Позиція тіла	select	none		SO1263
9468	Секс-ляльки	6303	Тип ляльки	select	none		SO1263
9468	Секс-ляльки	6151	Стать ляльки	select	none		SO1263
9468	Секс-ляльки	4251	Сенсорне реагування	select	binary		SO1263
9468	Секс-ляльки	4793	Звукові ефекти	select	binary		SO1263
9468	Секс-ляльки	5255	Вагінальний отвір	select	binary		SO1263
9468	Секс-ляльки	5262	Колір волосся	select	none		SO1263
9468	Секс-ляльки	5024	Сумісність з VR	select	binary		SO1263
9468	Секс-ляльки	5181	Статевий член	select	binary		SO1263
9468	Секс-ляльки	5197	Оральний отвір	select	binary		SO1263
9484	Анальні пробки	13948	Тип товару	select	none		SO1339
9484	Анальні пробки	11098	Тип живлення	select	none		SO1339
9484	Анальні пробки	12891	Форма	select	none		SO1339
9484	Анальні пробки	10173	Підігрів	select	binary		SO1339
9630	Свічки для інтимного масажу	15742	Об’єм	select	prom-inval	80	SO1858
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO1858
7216	Еротична білизна	13949	Стать	select	none		SO2224
7216	Еротична білизна	13948	Тип товару	select	db-inval	бандаж/фіксатор	SO2224
7216	Еротична білизна	12923	Розмір	select	none		SO2224
3141	Сіль для ванни	2856	Стать	multiselect	none		SO2542
3141	Сіль для ванни	51	Вид	multiselect	none		SO2542
3141	Сіль для ванни	2854	Призначення	multiselect	none		SO2542
3141	Сіль для ванни	150	Вага	float	none		SO2542
3141	Сіль для ванни	9502	Клас косметики	multiselect	none		SO2542
3141	Сіль для ванни	6687	Аромат	multiselect	none		SO2542
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		ME012
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		ME012
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	none		ME012
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		ME012
9630	Свічки для інтимного масажу	15742	Об’єм	select	db-inval	80	SO1850
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO1850
9630	Свічки для інтимного масажу	15761	Час горіння	select	db	до 3 годин	SO1850
9630	Свічки для інтимного масажу	15762	Тип воску	select	db	комбінований	SO1850
9630	Свічки для інтимного масажу	15744	Аромат	select	db	без аромату	SO1850
9630	Свічки для інтимного масажу	15743	Стать	select	db	унісекс	SO1850
9620	Аксесуари для мастурбаторів	15300	Основний матеріал	select	none		F16647
9620	Аксесуари для мастурбаторів	78	Колір виробника	multiselect	text	тан	F16647
9632	Олія для еротичного масажу	15744	Аромат	select	db	без аромату	SO2383
9632	Олія для еротичного масажу	15743	Стать	select	db	унісекс	SO2383
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	3	SO2383
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2383
9616	Аксесуари для страпонів	78	Колір виробника	multiselect	text-many	100, ash, бавовна	AD40779
9472	Мастурбатори	3106	Вид	select	db	реалістичні	F12441
9460	Еротичні приколи та сувеніри	12731	Матеріал	select	prom-inval	SuperSkin, Метал	F35211
9630	Свічки для інтимного масажу	15742	Об’єм	select	db-inval	30	SO2516
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO2516
9630	Свічки для інтимного масажу	15761	Час горіння	select	db	до 3 годин	SO2516
9630	Свічки для інтимного масажу	15762	Тип воску	select	db	парафін (рафінований косметичний)	SO2516
9630	Свічки для інтимного масажу	15744	Аромат	select	db	троянда	SO2516
9630	Свічки для інтимного масажу	15743	Стать	select	db	унісекс	SO2516
9466	Вібратори	10173	Підігрів	select	binary		AL20431
9466	Вібратори	3369	Призначення	select	none		AL20431
9466	Вібратори	3106	Вид	select	none		AL20431
9466	Вібратори	3103	Тип приладу	select	none		AL20431
9466	Вібратори	13037	Конструкція	select	none		AL20431
9466	Вібратори	10210	Керування через застосунок (Smart)	select	binary		AL20431
9466	Вібратори	9977	Кілька насадок	select	binary		AL20431
9466	Вібратори	4212	Кількість режимів роботи	select	none		AL20431
9466	Вібратори	11988	Кріплення на присоску	select	binary		AL20431
9466	Вібратори	11953	Водонепроникний	select	binary		AL20431
9466	Вібратори	11367	Телескопічний	select	binary		AL20431
9470	Ерекційні кільця	13037	Конструкція	select	prom-inval	з мошонкою	SO2443
9470	Ерекційні кільця	3369	Призначення	select	prom-inval	вагінальні	SO2443
7216	Еротична білизна	13949	Стать	select	none		SO3131
7216	Еротична білизна	13948	Тип товару	select	prom-inval	набір	SO3131
7216	Еротична білизна	12923	Розмір	select	none		SO3131
9472	Мастурбатори	3106	Вид	select	db	реалістичні	SO3940
9632	Олія для еротичного масажу	15744	Аромат	select	db	без аромату	SO1208
9632	Олія для еротичного масажу	15743	Стать	select	db	унісекс	SO1208
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	3	SO1208
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO1208
3219	Засоби після гоління	1098	Об'єм	float	db-num	100	PJ11870
3219	Засоби після гоління	2856	Стать	multiselect	none		PJ11870
3219	Засоби після гоління	3087	Тип засобу	select	none		PJ11870
3219	Засоби після гоління	3088	Дія засобу	multiselect	none		PJ11870
3219	Засоби після гоління	9502	Клас косметики	multiselect	none		PJ11870
3219	Засоби після гоління	2855	Тип шкіри	multiselect	none		PJ11870
9470	Ерекційні кільця	13037	Конструкція	select	prom-inval	з мошонкою	SO2444
9470	Ерекційні кільця	3369	Призначення	select	prom-inval	кліторні	SO2444
9448	Догляд за секс-іграшками	14036	Дія	select	db	догляд та відновлення	SO2004
9448	Догляд за секс-іграшками	14024	Тип засобу	select	db	спрей	SO2004
9578	Меблі для сексу	762	Вага	float	none		SO4424
9578	Меблі для сексу	2470	Довжина	float	prom-num	1270	SO4424
9578	Меблі для сексу	111	Ширина	float	none		SO4424
9578	Меблі для сексу	110	Висота	float	none		SO4424
5116	Менструальні чаші	12097	Базовий колір	multiselect	none		SO3583
5116	Менструальні чаші	5406	Ароматизовані	select	binary		SO3583
5116	Менструальні чаші	78	Колір виробника	multiselect	none		SO3583
5116	Менструальні чаші	1098	Об'єм	float	db-num	15	SO3583
5116	Менструальні чаші	2847	Кількість в упаковці	float	none		SO3583
5116	Менструальні чаші	5408	Розмір	multiselect	none		SO3583
9460	Еротичні приколи та сувеніри	13948	Тип товару	select	db	мило	SO4799
9460	Еротичні приколи та сувеніри	13948	Тип товару	select	db	мило	SO4802
9630	Свічки для інтимного масажу	15742	Об’єм	select	db-inval	30	SO4478
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO4478
9630	Свічки для інтимного масажу	15761	Час горіння	select	db	до 3 годин	SO4478
9630	Свічки для інтимного масажу	15762	Тип воску	select	db	соєвий	SO4478
9630	Свічки для інтимного масажу	15744	Аромат	select	db	без аромату	SO4478
9630	Свічки для інтимного масажу	15743	Стать	select	db	унісекс	SO4478
9474	Насадки на член	13039	Вид	select	db	нереалістичні	MD0609
9472	Мастурбатори	12731	Матеріал	select	prom-inval	Поліуретан	SO1648
9620	Аксесуари для мастурбаторів	15300	Основний матеріал	select	none		F16630
9620	Аксесуари для мастурбаторів	78	Колір виробника	multiselect	text-many	бук, він, лайт	F16630
9632	Олія для еротичного масажу	15744	Аромат	select	db	ваніль	SO3216
9632	Олія для еротичного масажу	15743	Стать	select	db	для чоловіків	SO3216
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	125	SO3216
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO3216
9628	Засоби для орального сексу	15766	Аромат	select	db	солона карамель	SO3201
9628	Засоби для орального сексу	15743	Стать	select	db	унісекс	SO3201
9628	Засоби для орального сексу	15763	Тип	select	db	олія	SO3201
9628	Засоби для орального сексу	15765	Смак	select	db	солона карамель	SO3201
9628	Засоби для орального сексу	15774	Тип упаковки	select	db	пляшка з дозатором	SO3201
9484	Анальні пробки	13948	Тип товару	select	none		SO2787
9484	Анальні пробки	11579	Вібрація	select	binary		SO2787
9484	Анальні пробки	11098	Тип живлення	select	none		SO2787
9484	Анальні пробки	12731	Матеріал	select	prom-inval	ПВХ	SO2787
9484	Анальні пробки	12891	Форма	select	prom-inval	конусна	SO2787
9484	Анальні пробки	10173	Підігрів	select	binary		SO2787
7216	Еротична білизна	13949	Стать	select	none		SO3448
7216	Еротична білизна	13948	Тип товару	select	db-inval	бандаж/фіксатор	SO3448
7216	Еротична білизна	12923	Розмір	select	none		SO3448
9632	Олія для еротичного масажу	15758	Без ароматизаторів	select	binary		SO2551
9632	Олія для еротичного масажу	15757	Без гліцерину	select	binary		SO2551
9632	Олія для еротичного масажу	15756	Без парабенів	select	binary		SO2551
9632	Олія для еротичного масажу	15755	Органічний продукт	select	binary		SO2551
9632	Олія для еротичного масажу	15754	Їстівна формула	select	binary		SO2551
9632	Олія для еротичного масажу	15753	Антистресовий	select	binary		SO2551
9632	Олія для еротичного масажу	15752	Пом'якшуючий	select	binary		SO2551
9632	Олія для еротичного масажу	15750	Зволожуючий	select	binary		SO2551
9632	Олія для еротичного масажу	15744	Аромат	select	none		SO2551
9632	Олія для еротичного масажу	15743	Стать	select	none		SO2551
9632	Олія для еротичного масажу	15742	Об’єм	select	prom-inval	450	SO2551
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2551
9632	Олія для еротичного масажу	15745	Зігріваючий	select	binary		SO2551
9632	Олія для еротичного масажу	15746	Охолоджуючий	select	binary		SO2551
9632	Олія для еротичного масажу	15747	Розслаблюючий	select	binary		SO2551
9632	Олія для еротичного масажу	15748	Тонізуючий	select	binary		SO2551
9632	Олія для еротичного масажу	15759	З феромонами	select	binary		SO2551
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	db	насадка	SO4096
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	none		SO4096
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		SO4096
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		SO3363
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		SO3363
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	text	тан	SO3363
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		SO3363
9460	Еротичні приколи та сувеніри	12731	Матеріал	select	prom-inval	SuperSkin	F35310
9632	Олія для еротичного масажу	15744	Аромат	select	db	кокос	SO2374
9632	Олія для еротичного масажу	15743	Стать	select	db	унісекс	SO2374
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	3	SO2374
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2374
9472	Мастурбатори	3106	Вид	select	db	нереалістичні	F19723
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		ME011
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		ME011
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	none		ME011
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		ME011
9466	Вібратори	10173	Підігрів	select	binary		SO1644
9466	Вібратори	3369	Призначення	select	prom-inval	для стимуляції вульви	SO1644
9466	Вібратори	3106	Вид	select	none		SO1644
9466	Вібратори	3103	Тип приладу	select	text	вакуумний стимулятор	SO1644
9466	Вібратори	13037	Конструкція	select	none		SO1644
9466	Вібратори	10210	Керування через застосунок (Smart)	select	binary		SO1644
9466	Вібратори	9977	Кілька насадок	select	binary		SO1644
9466	Вібратори	12731	Матеріал	select	prom-inval	Силікон | ABS-пластик	SO1644
9466	Вібратори	11988	Кріплення на присоску	select	binary		SO1644
9466	Вібратори	11953	Водонепроникний	select	binary		SO1644
9466	Вібратори	11367	Телескопічний	select	binary		SO1644
9632	Олія для еротичного масажу	15758	Без ароматизаторів	select	binary		SO2364
9632	Олія для еротичного масажу	15757	Без гліцерину	select	binary		SO2364
9632	Олія для еротичного масажу	15756	Без парабенів	select	binary		SO2364
9632	Олія для еротичного масажу	15755	Органічний продукт	select	binary		SO2364
9632	Олія для еротичного масажу	15753	Антистресовий	select	binary		SO2364
9632	Олія для еротичного масажу	15752	Пом'якшуючий	select	binary		SO2364
9632	Олія для еротичного масажу	15750	Зволожуючий	select	binary		SO2364
9632	Олія для еротичного масажу	15749	Збуджуючий	select	binary		SO2364
9632	Олія для еротичного масажу	15744	Аромат	select	text	кокос	SO2364
9632	Олія для еротичного масажу	15743	Стать	select	none		SO2364
9632	Олія для еротичного масажу	15742	Об’єм	select	prom-inval	30	SO2364
9632	Олія для еротичного масажу	15741	Кількість	select	text	набір	SO2364
9632	Олія для еротичного масажу	15746	Охолоджуючий	select	binary		SO2364
9632	Олія для еротичного масажу	15747	Розслаблюючий	select	binary		SO2364
9632	Олія для еротичного масажу	15748	Тонізуючий	select	binary		SO2364
9632	Олія для еротичного масажу	15759	З феромонами	select	binary		SO2364
9628	Засоби для орального сексу	15766	Аромат	select	db	цитрусовий	SO3205
9628	Засоби для орального сексу	15743	Стать	select	db	унісекс	SO3205
9628	Засоби для орального сексу	15763	Тип	select	db	льодяники	SO3205
9628	Засоби для орального сексу	15765	Смак	select	db-inval	м'ятна жуйка	SO3205
9628	Засоби для орального сексу	15774	Тип упаковки	select	db	пляшка з дозатором	SO3205
9630	Свічки для інтимного масажу	15742	Об’єм	select	db-inval	170	SO2515
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO2515
9630	Свічки для інтимного масажу	15761	Час горіння	select	db	до 3 годин	SO2515
9630	Свічки для інтимного масажу	15762	Тип воску	select	db	комбінований	SO2515
9630	Свічки для інтимного масажу	15744	Аромат	select	db	без аромату	SO2515
9630	Свічки для інтимного масажу	15743	Стать	select	db	унісекс	SO2515
9632	Олія для еротичного масажу	15742	Об’єм	select	prom-inval	100	SO2371
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2371
9470	Ерекційні кільця	3369	Призначення	select	prom-inval	кліторні	SO2738
9630	Свічки для інтимного масажу	15742	Об’єм	select	db-inval	170	SO2514
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO2514
9630	Свічки для інтимного масажу	15761	Час горіння	select	db	до 3 годин	SO2514
9630	Свічки для інтимного масажу	15762	Тип воску	select	db	комбінований	SO2514
9630	Свічки для інтимного масажу	15744	Аромат	select	db	шоколад	SO2514
9630	Свічки для інтимного масажу	15743	Стать	select	db	унісекс	SO2514
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		SO2463
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		SO2463
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	text-many	ash, ніч, тан	SO2463
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		SO2463
9474	Насадки на член	13039	Вид	select	db	реалістичні	SO3718
9460	Еротичні приколи та сувеніри	13948	Тип товару	select	db	мило	SO2632
9484	Анальні пробки	13948	Тип товару	select	db	анальний душ	ACE001
9484	Анальні пробки	11098	Тип живлення	select	prom-inval	Батарейки	ACE001
9470	Ерекційні кільця	9698	Текстура поверхні	select	db	гладка	SO2744
9470	Ерекційні кільця	13037	Конструкція	select	db	одинарні	SO2744
9470	Ерекційні кільця	3369	Призначення	select	db	підтримка ерекції	SO2744
9470	Ерекційні кільця	9695	Тип	select	db	кільце	SO2744
9632	Олія для еротичного масажу	15744	Аромат	select	db	без аромату	SO1206
9632	Олія для еротичного масажу	15743	Стать	select	db	унісекс	SO1206
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	3	SO1206
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO1206
9460	Еротичні приколи та сувеніри	13948	Тип товару	select	db	мило	SO2644
9526	Аксесуари до інтимних іграшок	14746	Тип аксесуара	select	none		HM-30-LI
9526	Аксесуари до інтимних іграшок	14747	Основний матеріал	select	none		HM-30-LI
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	text	тан	HM-30-LI
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		HM-30-LI
5116	Менструальні чаші	12097	Базовий колір	multiselect	none		SO3994
5116	Менструальні чаші	5406	Ароматизовані	select	binary		SO3994
5116	Менструальні чаші	78	Колір виробника	multiselect	text-many	ash, orange, агат	SO3994
5116	Менструальні чаші	1098	Об'єм	float	prom-num	15	SO3994
5116	Менструальні чаші	2847	Кількість в упаковці	float	none		SO3994
5116	Менструальні чаші	5408	Розмір	multiselect	none		SO3994
9550	Анальний душ	78	Колір виробника	multiselect	text-many	він, м 330, мос	SO2183
9550	Анальний душ	757	Довжина шланга	float	none		SO2183
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	text-many	sage, бук, тис	SO3605
9526	Аксесуари до інтимних іграшок	2845	Колір	select	none		SO3605
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	text-many	ash, black	SO2798
9526	Аксесуари до інтимних іграшок	78	Колір виробника	multiselect	text-many	тан, чорний	BM-081
9526	Аксесуари до інтимних іграшок	2845	Колір	select	text	чорний	BM-081
9466	Вібратори	10173	Підігрів	select	binary		SO2989
9466	Вібратори	3369	Призначення	select	db	вагінально-анальні	SO2989
9466	Вібратори	3106	Вид	select	db	нереалістичні	SO2989
9466	Вібратори	3103	Тип приладу	select	db	класичний вібратор	SO2989
9466	Вібратори	13037	Конструкція	select	db	подвійні	SO2989
9466	Вібратори	10210	Керування через застосунок (Smart)	select	binary		SO2989
9466	Вібратори	9977	Кілька насадок	select	binary		SO2989
9466	Вібратори	4212	Кількість режимів роботи	select	db	10	SO2989
9466	Вібратори	11988	Кріплення на присоску	select	binary		SO2989
9466	Вібратори	11953	Водонепроникний	select	binary		SO2989
9466	Вібратори	11367	Телескопічний	select	binary		SO2989
9632	Олія для еротичного масажу	15744	Аромат	select	db	без аромату	SO2386
9632	Олія для еротичного масажу	15743	Стать	select	db	унісекс	SO2386
9632	Олія для еротичного масажу	15742	Об’єм	select	db-inval	3	SO2386
9632	Олія для еротичного масажу	15741	Кількість	select	none		SO2386
9630	Свічки для інтимного масажу	15742	Об’єм	select	db-inval	170	SO2511
9630	Свічки для інтимного масажу	15741	Кількість	select	none		SO2511
9630	Свічки для інтимного масажу	15761	Час горіння	select	db	до 3 годин	SO2511
9630	Свічки для інтимного масажу	15762	Тип воску	select	db	комбінований	SO2511
9630	Свічки для інтимного масажу	15744	Аромат	select	db	ваніль	SO2511
9630	Свічки для інтимного масажу	15743	Стать	select	db	унісекс	SO2511
9628	Засоби для орального сексу	15749	Збуджуючий	select	binary		SO2554
9628	Засоби для орального сексу	15766	Аромат	select	none		SO2554
9628	Засоби для орального сексу	15769	Посилення слиновиділення	select	binary		SO2554
9628	Засоби для орального сексу	15770	Віброефект	select	binary		SO2554
9628	Засоби для орального сексу	15743	Стать	select	none		SO2554
9628	Засоби для орального сексу	15750	Зволожуючий	select	binary		SO2554
9628	Засоби для орального сексу	15763	Тип	select	none		SO2554
9628	Засоби для орального сексу	15765	Смак	select	none		SO2554
9628	Засоби для орального сексу	15771	Сумісність з презервативами	select	binary		SO2554
9628	Засоби для орального сексу	15772	Сумісність з секс-іграшками	select	binary		SO2554
9628	Засоби для орального сексу	15773	Веганський	select	binary		SO2554
9628	Засоби для орального сексу	15774	Тип упаковки	select	none		SO2554
9628	Засоби для орального сексу	15747	Розслаблюючий	select	binary		SO2554
9628	Засоби для орального сексу	15766	Аромат	select	db	цитрусовий	SO2533
9628	Засоби для орального сексу	15743	Стать	select	db	унісекс	SO2533
9628	Засоби для орального сексу	15763	Тип	select	db	гель	SO2533
