sku	prom_id	status	presence	base_presence	in_feed	base_found	q1_a	q1_b	q1_found	name_changed	q2_old_name	q3_query	q3_a	q3_b	q3_found	q3_total	q3_ours_any	q4_ru	error	name_ua	base_name
SO4519	3152112127	on_display	available	available	1	0	0	0	0	0		фалоімітатор strap-on-me	0	0	0	559	0	0		Реалістичний фалоімітатор Strap-On-Me Soft REALISTIC DILDO Violet - Size S, діаметр 3,6 см	Реалістичний фалоімітатор Strap-On-Me Soft REALISTIC DILDO Violet - Size S, діаметр 3,6 см
SO3551	3152111501	on_display	available	available	1	0	0	0	0	0		вібратор satisfyer	0	0	0	1729	0	0		Вібратор морозиво-спінатор Satisfyer Lay-On - Sweet Treat Black/Gold, 10 режимів роботи, водонепроникний	Вібратор морозиво-спінатор Satisfyer Lay-On - Sweet Treat Black/Gold, 10 режимів роботи, водонепроникний
SO5431	3163422124	on_display	available	available	1	0	0	0	0	0		мінівібратор satisfyer	0	0	0	159	0	0		Мінівібратор Satisfyer Ultra Power Bullet 5 Black, силікон	Мінівібратор Satisfyer Ultra Power Bullet 5 Black, силікон
SO6610	3152113214	on_display	available	available	1	0	0	0	0	0		лоскітка art of sex	0	0	0	321	0	0		Лоскітка з пером півня Art of Sex – Feather Paddle, червона, пластик	Лоскітка з пером півня Art of Sex – Feather Paddle, червона, пластик
SX2664	3152117129	on_display	available	available	1	0	0	0	0	1	0	вібромасажер climaximum	0	0	0	12	0	0		Вібромасажер Climaximum Aurora	Вібромассажер Climaximum Aurora
SX1371	3152115825	on_display	available	available	1	0	0	0	0	0		еротична білизна без бренду	0	0	0	2487	0	0		Пестис з дзвіночками на соски Paris Hollywood Cache Tetons Clochettes	Пестис з дзвіночками на соски Paris Hollywood Cache Tetons Clochettes
SO3622	3152111525	on_display	available	available	1	0	0	0	0	1	0	вакуумний стимулятор kisstoy	0	0	0	200	0	0		Вакуумний стимулятор з вібрацією KISSTOY Miss CC Pink, можна використовувати як вібратор, діам. 3,6см	Вакуумний KISSTOY стимулятор з вібрацією KISTOY Miss CC Pink, можна використовувати як вібратор, діам. 3,6см
SO7660	3152113801	on_display	available	available	1	0	0	0	0	0		кліторальний вібратор sugarboo	0	0	0	41	0	0		Кліторальний вібратор SugarBoo Blue Bae, працює від батарейок (у комплекті), силікон	Кліторальний вібратор SugarBoo Blue Bae, працює від батарейок (у комплекті), силікон
SO8628	3152114239	on_display	available	available	1	0	0	0	0	0		смарт-мастурбатор satisfyer	0	0	0	37	0	0		Смарт-мастурбатор з вібрацією Satisfyer Men Vibration+, 2 мотори, 14 режимів, водонепроникний	Смарт-мастурбатор з вібрацією Satisfyer Men Vibration+, 2 мотори, 14 режимів, водонепроникний
SO2115	3152110304	on_display	available	available	1	0	0	0	0	0		вібратор rocks off	0	0	0	1487	0	0		Вібратор Rocks Off RO-160mm 10 Rouge Allure, діаметр 3,2 см	Вібратор Rocks Off RO-160mm 10 Rouge Allure, діаметр 3,2 см
SO1594	3152110162	on_display	available	available	1	0	0	0	0	1	0	вібратори Big Teaze Toys	0	0	0	92	0	0		Вібромасажер качечка I Big Teaze Toys Rub My Duckie - Classic Yellow v2.0, скромняжка, pvc (поливинилхлорид)	Вібромасажер Big Teaze Toys качечка I Rub My Duckie - Classic Yellow v2.0, скромняжка, pvc (поливинилхлорид)
SO8779	3152114420	on_display	available	available	1	2	2	0	1	0		вібратор satisfyer	0	0	0	1726	0	0		Вібратор для точки G Satisfyer G-Force Violet, 10 режимів + 5 рівнів інтенсивності, силікон	Вібратор для точки G Satisfyer G-Force Violet, 10 режимів + 5 рівнів інтенсивності, силікон
SO6698	3152113290	on_display	available	available	1	0	0	0	0	0		нашийник art of sex	0	0	0	464	0	0		Нашийник з повідцем із натуральної шкіри із заклепками Art of Sex - Jenna Collar with Leash, чорний	Нашийник з повідцем із натуральної шкіри із заклепками Art of Sex - Jenna Collar with Leash, чорний
SX0912	3152115511	on_display	available	available	1	0	0	0	0	0		маска-збруя lockink	0	0	0	36	0	0		Маска-збруя для мінету з повідцем LOCKINK SEVANDA Blowjob Head Muzzle with Leash, чорна, метал	Маска-збруя для мінету з повідцем LOCKINK SEVANDA Blowjob Head Muzzle with Leash, чорна, метал
SX4616	3152115915	on_display	available	available	1	0	0	0	0	0		насадка kokos	0	0	0	1108	0	0		Насадка на член Kokos Cock Sleeve CS 005 S	Насадка на член Kokos Cock Sleeve CS 005 S
SO2648	3152110793	on_display	not_available	available	0	0															
SO4953	3152112364	on_display	available	available	1	0	0	2	1	1	0	вакуумний вібратор kisstoy	0	0	0	193	1	2		Вакуумний вібратор KISSTOY Tina Mini Violet, вагінально-кліторальний	Вакуумний KISSTOY вібратор KISTOY Tina Mini Violet, вагінально-кліторальний
SO4664	3152112192	on_display	available	available	1	0	0	0	0	1	0	кільце fetish tentation	0	0	0	97	0	0		Подвійне ерекційне кільце з обхватом для мошонки Fetish Tentation Double Cockring, поліуретан	Подвійне ерекційне кільце з обхватом для мошонки Fetish Tentation Double Сockring, поліуретан
SO5544	3152112535	on_display	available	available	1	2	0	3	1	0		вібратор-кролик satisfyer	0	0	0	905	0	0		Смарт вібратор-кролик із підігрівом Satisfyer Hot Lover Pink, силікон	Смарт вібратор-кролик із підігрівом Satisfyer Hot Lover Pink, силікон
SX3232	3152117774	on_display	available	available	1	0	0	0	0	0		мастурбатор kokos	0	0	0	2489	1	0		Мастурбатор Kokos Onahole Edition 004 by Vanilla Vibe	Мастурбатор Kokos Onahole Edition 004 by Vanilla Vibe
SO2735	3152110845	on_display	available	available	1	0	0	0	0	0		мінівібромасажер palmpower	0	0	0	10	0	0		Мінівібромасажер PalmPower Pocket із чохлом на блискавці, водостійкий, перезаряджуваний, довжина 9см	Мінівібромасажер PalmPower Pocket із чохлом на блискавці, водостійкий, перезаряджуваний, довжина 9см
SO6318	3152113139	on_display	available	available	1	0	0	0	0	0		металева анальна пробка alive	0	0	0	601	0	0		Металева анальна пробка Кролячий хвостик Alive Fluffy Plug L Black, діаметр 3,9 см	Металева анальна пробка Кролячий хвостик Alive Fluffy Plug L Black, діаметр 3,9 см
SX0977	3152115564	on_display	available	available	1	0	0	0	0	0		безремінний страпон fun factory	0	0	0	-1	0	4		Безремінний страпон з вібрацією Fun Factory SHARE VIBE PRO cool grey, регульований, діаметр 4,1 см	Безремінний страпон з вібрацією Fun Factory SHARE VIBE PRO cool grey, регульований, діаметр 4,1 см
SX0838	3152115450	on_display	available	available	1	0	0	0	0	0		тиклер lockink	0	0	0	64	0	0		Тиклер зі змінними насадками LOCKINK 5-head Flirting Tickler, золотистий корпус, 5 наконечників, силікон	Тиклер зі змінними насадками LOCKINK 5-head Flirting Tickler, золотистий корпус, 5 наконечників, силікон
SO2790	3152110859	on_display	available	available	1	0	0	0	0	0		фалоімітатор doc johnson	0	0	0	1425	0	0		Фалоімітатор Doc Johnson The Realistic Cock 6 inch Black - ULTRASKYN, діаметр 4,3 см, Vac-U-Lock	Фалоімітатор Doc Johnson The Realistic Cock 6 inch Black - ULTRASKYN, діаметр 4,3 см, Vac-U-Lock
SO2978	3152110932	on_display	available	available	1	9	0	10	1	0		утяжка mystim	0	0	0	179	0	0		Утяжка для пеніса Mystim Plunging Pete, позолочена, з двома кульками і коротким уретральним зондом, силікон	Утяжка для пеніса Mystim Plunging Pete, позолочена, з двома кульками і коротким уретральним зондом, силікон
SO6037	3152112808	on_display	available	available	1	0	0	0	0	1	0	пульсатор kisstoy	0	0	0	49	0	0		Пульсатор з вакуумним стимулятором KISSTOY Cathy White на гнучкому з'єднанні, діаметр 4,2 см	Пульсатор KISSTOY з вакуумним стимулятором KISTOY Cathy White на гнучкому з'єднанні, діаметр 4,2 см
SO6083	3152112835	on_display	available	available	1	0	0	0	0	0		смарт-масажер простати satisfyer	0	0	0	6	0	0		Смарт-масажер простати Satisfyer Deep Diver Grey, діаметр 3,3 см	Смарт-масажер простати Satisfyer Deep Diver Grey, діаметр 3,3 см
SO9507	3152114803	on_display	available	available	1	0	0	0	0	0		бдсм іграшки Без бренда	0	0	0	4	0	0		Набір Liebe Seele Pink G lossy 7pcs Bondage Kit, фіксатори, нашийник з повідцем, кляп, флогер, маска	Набір Liebe Seele Pink G lossy 7pcs Bondage Kit, фіксатори, нашийник з повідцем, кляп, флогер, маска
SO5554	3152112543	on_display	available	available	1	3	0	0	0	0		прозорий фалоімітатор alive	0	0	0	151	0	0		Прозорий фалоімітатор Alive Jelly Dildo Empire, діаметр 4,3см, ТПЕ, присоска, довжина 19,3см	Прозорий фалоімітатор Alive Jelly Dildo Empire, діаметр 4,3см, ТПЕ, присоска, довжина 19,3см
SO3084	3152111371	on_display	available	available	1	0	0	0	0	0		мінівібратор love to love	0	0	0	-1	0	0		Потужний мінівібратор Love To Love Delight Me Menthe з м'яким кінчиком, 16 режимів роботи, силікон	Потужний мінівібратор Love To Love Delight Me Menthe з м'яким кінчиком, 16 режимів роботи, силікон
SO6257	3152113096	on_display	available	available	1	0	0	0	0	0		фалоімітатор strap-on-me	0	0	0	559	0	0		Реалістичний фалоімітатор Strap-On-Me Sliding Skin Realistic Dildo Fuchsia L, ефект рухливої шкіри	Реалістичний фалоімітатор Strap-On-Me Sliding Skin Realistic Dildo Fuchsia L, ефект рухливої шкіри
SX0854	3152115466	on_display	available	available	1	0	0	0	0	0		маска lockink	0	0	0	197	0	0		Маска на очі LOCKINK Vixen Blindfold, коричнева, натуральна шкіра, регульований обсяг, метал	Маска на очі LOCKINK Vixen Blindfold, коричнева, натуральна шкіра, регульований обсяг, метал
SX2663	3152117128	on_display	available	available	1	0	0	0	0	0		міні смарт-віброяйце lovense	0	0	0	16	0	0		Міні смарт-віброяйце Lovense Lush Mini, зменшена версія Lovense Lush 4, діаметр 3,1 см	Міні смарт-віброяйце Lovense Lush Mini, зменшена версія Lovense Lush 4, діаметр 3,1 см
SO1778	3152110212	on_display	available	available	1	0	0	0	0	0		змазка jo	0	0	0	2481	0	0		Змазка на водній основі JO H2O — Vanilla Cream (120 мл) без цукру, рослинний гліцерин	Змазка на водній основі JO H2O — Vanilla Cream (120 мл) без цукру, рослинний гліцерин
SO2443	3152110738	on_display	available	available	1	0	0	0	0	0		ерекційне віброкільце bathmate	0	0	0	30	0	0		Ерекційне віброкільце Bathmate Vibe Ring Stretch, широке, може бути обмежувачем, tpe	Ерекційне віброкільце Bathmate Vibe Ring Stretch, широке, може бути обмежувачем, tpe
SX4015	3152118707	on_display	available	available	1	0	0	0	0	0		спрей exsens	0	0	0	79	1	0		Лубрикант спрей для посилення слиновиділення EXSENS Wet Kiss Pomegranate 15 мл	Лубрикант спрей для посилення слиновиділення EXSENS Wet Kiss Pomegranate 15 мл
SX3952	3152118658	on_display	available	available	1	0	0	0	0	0		фалоімітатор silexd	0	0	0	1399	0	0		Фалоімітатор SilexD Fantasy - Angel 9", двошаровий, силікон+Silexpan	Фалоімітатор SilexD Fantasy - Angel 9", двошаровий, силікон+Silexpan
SO6304	3152113129	on_display	available	available	1	0	0	0	0	0		менструальна чаша femintimate	0	0	0	400	0	0		Менструальна чаша Femintimate Eve Cup New розмір M, об’єм — 35 мл, ергономічний дизайн, діаметр 4 см	Менструальна чаша Femintimate Eve Cup New розмір M, об’єм — 35 мл, ергономічний дизайн, діаметр 4 см
SX3459	3152118264	on_display	available	available	1	0	0	1	1	0		портупея art of sex	0	0	0	1403	0	0		Чоловіча портупея Art of Sex - Spartacus, натуральна шкіра, колір чорний, розмір L-2XL, метал	Чоловіча портупея Art of Sex - Spartacus, натуральна шкіра, колір чорний, розмір L-2XL, метал
SX2271	3152116591	on_display	available	available	1	1	1	1	1	0		інтимна косметика Love To Love	0	0	0	90	0	0		Стимулювальний блиск для губ Love To Love Love Potion - Gloss Sensuel 8 мл	Стимулювальний блиск для губ Love To Love Love Potion - Gloss Sensuel 8 мл
SO6997	3152113540	on_display	available	available	1	0	0	0	0	0		вібратор svakom	0	0	0	1006	0	0		Вібратор для точки G з інтелектуальним режимом Svakom Amy 2 Violet, силікон	Вібратор для точки G з інтелектуальним режимом Svakom Amy 2 Violet, силікон
SO3470	3152111477	on_display	available	available	1	0	0	0	0	0		вібратор mystim	0	0	0	647	0	0		Потужний вібратор Mystim Terrific Truman Purple з двома моторами і вираженою головкою, силікон	Потужний вібратор Mystim Terrific Truman Purple з двома моторами і вираженою головкою, силікон
SO3868	3152111985	on_display	available	available	1	0	0	0	0	0		вібромасажер rianne s	0	0	0	59	0	0		Вібромасажер Rianne S: Bella Mini Wand Rose, 10 режимів, медичний силікон, подарункове паковання	Вібромасажер Rianne S: Bella Mini Wand Rose, 10 режимів, медичний силікон, подарункове паковання
SO8919	3152114523	on_display	available	available	1	0	0	0	0	1	0	еротична гра fungamesshop	0	0	0	31	1	0		Еротична гра FunGamesShop «Ти + Я: Дівочі посиденьки» (UA), ламінований картон	Еротична FunGamesShop гра «Ти + Я: Дівочі посиденьки» (UA), ламінований картон
SO9610	3152114851	on_display	available	available	1	0	2	2	1	1	2	еротична гра flixplay	0	0	0	71	1	6		Еротична гра FlixPlay «Хочу тебе» (UA)	Еротична FlixPlay гра «Хочу тебе» (UA)
SO5437	3163422126	on_display	available	available	1	0	0	0	0	0		смарт міні-вібратор satisfyer	0	0	0	2	0	0		Смарт міні-вібратор Satisfyer Ultra Power Bullet 8 Turquoise, силікон	Смарт міні-вібратор Satisfyer Ultra Power Bullet 8 Turquoise, силікон
SX4491	3152119313	on_display	available	available	1	0	0	0	0	0		мастурбатор doc johnson	0	0	0	1256	0	0		Мастурбатор Doc Johnson Palm Pal Virgin Stroker with Pop Her Cherry Juice	Мастурбатор Doc Johnson Palm Pal Virgin Stroker with Pop Her Cherry Juice
SX2302	3152116950	on_display	available	available	1	0	0	0	0	1	0	пом'якшувальний майданчик bathmate	0	0	0	21	0	0		Пом'якшувальний майданчик з довгою вставкою для Bathmate Hydromax X50 (Hydromax 11)	Пом'якшувальний Bathmate майданчик з довгою вставкою для Hydromax X50 (Hydromax 11)
SX2694	3152117159	on_display	available	available	1	0	0	0	0	0		смарт-вібратор zalo	0	0	0	204	0	0		Смарт-вібратор Zalo Ares Obsidian Black, підігрів, 3 мотори, язичок для клітора, стимуляція точки G	Смарт-вібратор Zalo Ares Obsidian Black, підігрів, 3 мотори, язичок для клітора, стимуляція точки G
SO6279	3163432136	on_display	available	available	1	0	0	0	0	0		анальна смарт-вібропробка satisfyer	0	0	0	84	0	0		Анальна смарт-вібропробка із перлинним масажем Satisfyer Rotator Plug 2+ Black, діаметр 3,5 см	Анальна смарт-вібропробка із перлинним масажем Satisfyer Rotator Plug 2+ Black, діаметр 3,5 см
SO9747	3152114909	on_display	available	available	1	0	0	0	0	0		бдсм іграшки Art of Sex	0	0	0	1148	0	0		Шкіряний чокер з манжетами Art of Sex - Leather Chezarro, метал	Шкіряний чокер з манжетами Art of Sex - Leather Chezarro, метал
SO5568	3152112555	on_display	available	available	1	0	0	0	0	0		pillow talk dreamy pink	0	0	0	5	0	0		Розкішний вакуумний кліторальний стимулятор Pillow Talk - Dreamy Pink із кристалом Swarovski, силікон	Розкішний вакуумний кліторальний стимулятор Pillow Talk - Dreamy Pink із кристалом Swarovski, силікон
SX4305	3152119153	on_display	available	available	1	0	0	0	0	0		мастурбатор fun factory	0	0	0	117	0	0		Мастурбатор для головки пеніса Fun Factory COBRA LIBRE II Nightblue, 2 мотори, гра без рук, діаметр 4,3 см	Мастурбатор для головки пеніса Fun Factory COBRA LIBRE II Nightblue, 2 мотори, гра без рук, діаметр 4,3 см
SX1201	3152115628	on_display	available	available	1	0	0	0	0	0		вібратор rocks off	0	0	0	1487	0	0		Вібратор для точки G Rocks Off Chaiamo G Black, 10 режимів, діаметр 3 см	Вібратор для точки G Rocks Off Chaiamo G Black, 10 режимів, діаметр 3 см
SO1608	3152110163	on_display	available	available	1	0	0	0	0	0		gp lr44	0	0	0	242	0	0		Батарейка GP LR44	Батарейка GP LR44
SO8138	3152113981	on_display	available	available	1	0	0	0	0	0		вібратор mystim	0	0	0	647	0	0		Вібратор для точки G Mystim Right on Ron Rose, 8 режимів, дуже потужний, діаметр 3,7 см	Вібратор для точки G Mystim Right on Ron Rose, 8 режимів, дуже потужний, діаметр 3,7 см
SX1556	3152116015	on_display	available	available	1	0	0	0	0	0		набір orgie	0	0	0	324	0	0		Набір олій для тантричного масажу Orgie – Tantric Mini Size Collection (3х30 мл), зволоження	Набір олій для тантричного масажу Orgie – Tantric Mini Size Collection (3х30 мл), зволоження
SX3475	3152118273	on_display	available	available	1	0	0	0	0	0		мастурбатор-півторс naked factory	0	0	0	18	0	0		Мастурбатор-півторс Naked Factory BARBIE, вагіна + анус, 2 канали, дуже реалістичний, наскрізний, tpe	Мастурбатор-півторс Naked Factory BARBIE, вагіна + анус, 2 канали, дуже реалістичний, наскрізний, tpe
