sku	prom_id	found_pos	other_ours_pos	seen	cat_id	category	price	presence	params	pics	desc_len	name	name_len	kw_count	keywords
SX1559	3152116018	0	0	10	161002	Возбуждающие средства	799.0	available	5	4	1651	Збуджувальний засіб спрей-пролонгатор Orgie Time Lag Delay Spray, 25 мл, без анестетиків, з пантенолом	102	6	збуджуючі засоби, інтимна косметика, збуджувальний засіб спрей-пролонгатор, збуджувальний засіб спрей-пролонгатор orgie, збуджувальний засіб спрей-пролонгатор оржі, orgie time lag
SX1209	3152115636	1	0	4	161018	Вакуумные стимуляторы	1979.0	available	9	5	2970	Вакуумний кліторальний стимулятор Satisfyer Mermaid Vibes Mint/Pink, 2 мотори, силікон	86	4	вакуумні стимулятори, satisfyer mermaid vibes, безконтактний стимулятор satisfyer, хвильовий стимулятор satisfyer
SO2619	3152110777	0	0	10	161003	Лубриканты	579.0	available	7	5	1083	Лубрикант на водній основі JO H2O — Candy Shop — Bubblegum (60 мл) без цукру та парабенів	89	6	лубриканти, інтимна косметика, лубрикант джо, jo h2o candy, лубрикант на водній основі, засоби для інтимної гігієни
SO4929	3152112359	0	0	30	161011	Вибраторы	2689.0	available	11	7	3303	Смарт-вібратор для пар Satisfyer Double Love (Blue), силікон	60	8	вібратори, інтимні іграшки, вібратор для пар, вібратор для пар satisfyer, вібратор для пар сатисфаєр, satisfyer double love, синій вібратор для пар, силіконовий вібратор для пар
SO6670	3152113268	0	0	30	161011	Вибраторы	6699.0	available	11	10	3258	Смартвібратор для пар Zalo — Fanfan Bright Red, силікон	55	9	вібратори, інтимні іграшки, для пар, для пар для клітора, для пар zalo, для пар зало, zalo fanfan bright, силіконовий для пар, для пар 8 режимів
SO4296	3152112061	1	0	30	161018	Вакуумные стимуляторы	2969.0	available	6	10	1183	Вакуумний KISSTOY стимулятор KISTOY K-King Pink, силікон	56	9	вакуумні стимулятори, вакуумний стимулятор kisstoy, kisstoy kistoy k-king, рожевий вакуумний стимулятор, рожевий вакуумний стимулятор kisstoy, силіконовий вакуумний стимулятор, вакуумний стимулятор 3 режимів, безконтактний стимулятор kisstoy, хвильовий стимулятор kisstoy
SX3227	3152117770	0	0	8	16102102	Тренажеры Кегеля	3269.0	available	11	10	4402	Тренажер Кегеля смарт-віброяйце Magic Motion Flamingo Max Blue 2 в 1: віброяйце та тренажер Кегеля, 10 режимів	110	9	тренажери кегеля, тренажери для жінок, віброяйця для клітора, віброяйця magic motion, magic motion flamingo max, синя віброяйця, синя віброяйця magic motion, силіконова віброяйця, віброяйця 10 режимів
SO3552	3152111502	0	0	4	161011	Вибраторы	1639.0	available	10	2	2314	Вібратор морозиво-спінатор Satisfyer Lay-On - Sweet Treat Pink/Brown, 10 режимів роботи, водонепроникний	104	9	вібратори, інтимні іграшки, вібратор для клітора, вібратор satisfyer, вібратор сатисфаєр, satisfyer lay-on sweet, рожевий вібратор, рожевий вібратор satisfyer, вібратор на акумуляторі
SO6674	3152113272	0	0	0	161011	Вибраторы	4299.0	available	13	9	2651	Вібратор для точки G із підігрівом Zalo Sweet Magic - Courage Fairy Pink, діаметр 3,4 см	88	9	вібратори, інтимні іграшки, вібратор для точки g, вібратор zalo, вібратор зало, zalo sweet magic, рожевий вібратор, рожевий вібратор zalo, силіконовий вібратор
SO6959	3152113510	0	0	0	161011	Вибраторы	5629.0	available	11	10	2320	Смарт-вібратор для точки G We-Vibe Rave G-Spot, діаметр 3,5 см	62	7	вібратори, інтимні іграшки, смарт-вібратор для точки g, смарт-вібратор we-vibe, смарт-вібратор ві вайб, we-vibe rave g-spot, силіконовий смарт-вібратор
SO8813	3152114450	0	0	3	161007	БДСМ-игрушки	2759.0	available	9	9	1396	Набір БДСМ Bedroom Fantasies: Kinky Bondage Set 5-piece, наручники, поножі, пов’язка, флогер, свічки, метал	107	6	бдсм іграшки, бдсм аксесуари, набір бдсм наручники, металеві набір бдсм наручники, бдсм наручники, аксесуари для рольових ігор
SO5180	3152112461	0	0	30	161007	БДСМ-игрушки	4899.0	available	4	5	524	Нашийник з натуральної шкіри Art of Sex -  Collar Butterfly, метал	66	7	бдсм іграшки, бдсм аксесуари, нашийник art of sex, нашийник арт оф секс, металевий нашийник, нашийник для рольових ігор, нашийник для домінування
SO8701	3152114264	0	0	3	161017	Вакуумные помпы	589.0	available	3	4	2000	Вакуумна Men Powerup помпа для вульви Pussy Pump Premium Fun розмір S (11 см), механічний насос	95	5	вакуумні помпи, стимулятори клітора, вакуумна помпа, вакуумна помпа men powerup, men powerup pussy pump
SO4519	3152112127	0	0	5	161010	Фаллоимитаторы	1979.0	available	9	3	1331	Реалістичний фалоімітатор Strap-On-Me Soft REALISTIC DILDO Violet - Size S, діаметр 3,6 см	90	9	фалоімітатори, інтимні іграшки, фалоімітатор strap-on-me, фалоімітатор страп он мі, strap-on-me soft realistic, фіолетовий фалоімітатор, фіолетовий фалоімітатор strap-on-me, силіконовий фалоімітатор, водонепроникний фалоімітатор
SO3551	3152111501	0	0	4	161011	Вибраторы	1639.0	available	10	2	2314	Вібратор морозиво-спінатор Satisfyer Lay-On - Sweet Treat Black/Gold, 10 режимів роботи, водонепроникний	104	9	вібратори, інтимні іграшки, вібратор для клітора, вібратор satisfyer, вібратор сатисфаєр, satisfyer lay-on sweet, чорний вібратор, чорний вібратор satisfyer, вібратор на акумуляторі
SO5431	3163422124	0	0	30	161011	Вибраторы	1169.0	available	11	7	1902	Мінівібратор Satisfyer Ultra Power Bullet 5 Black, силікон	58	9	вібратори, інтимні іграшки, мінівібратор для клітора, мінівібратор satisfyer, мінівібратор сатисфаєр, satisfyer ultra power, чорний мінівібратор, чорний мінівібратор satisfyer, силіконовий мінівібратор
SO6610	3152113214	0	0	30	161007	БДСМ-игрушки	169.0	available	4	3	957	Лоскітка з пером півня Art of Sex – Feather Paddle, червона, пластик	68	4	бдсм іграшки, бдсм аксесуари, лоскітка пером, аксесуари для рольових ігор
SX2664	3152117129	0	0	2	161011	Вибраторы	2799.0	available	6	4	508	Вібромассажер Climaximum Aurora	31	6	вібратори, інтимні іграшки, вагінальний вібромассажер, вібромассажер climaximum, climaximum aurora, вібромассажер на водній основі
SX1371	3152115825	0	0	23	1767	Эротические подарки	629.0	available	1	2	863	Пестис з дзвіночками на соски Paris Hollywood Cache Tetons Clochettes	69	3	еротична білизна, пестис для рольових ігор, жіноча еротична білизна
SO3622	3152111525	0	0	10	161018	Вакуумные стимуляторы	2099.0	available	10	8	2395	Вакуумний KISSTOY стимулятор з вібрацією KISTOY Miss CC Pink, можна використовувати як вібратор, діам. 3,6см	108	9	вакуумні стимулятори, вакуумний стимулятор kisstoy, kisstoy kistoy miss, рожевий вакуумний стимулятор, рожевий вакуумний стимулятор kisstoy, силіконовий вакуумний стимулятор, вакуумний стимулятор на акумуляторі, вакуумний стимулятор 10 режимів, вакуумний стимулятор з вібрацією
SO7660	3152113801	0	0	9	161011	Вибраторы	1239.0	available	11	5	2245	Кліторальний вібратор SugarBoo Blue Bae, працює від батарейок (у комплекті), силікон	84	9	вібратори, інтимні іграшки, кліторальний вібратор, кліторальний вібратор для клітора, кліторальний вібратор sugarboo, sugarboo blue bae, синій кліторальний вібратор, синій кліторальний вібратор sugarboo, силіконовий кліторальний вібратор
SO8628	3152114239	0	0	4	161013	Мастурбаторы	2689.0	available	11	7	4635	Смарт-мастурбатор з вібрацією Satisfyer Men Vibration+, 2 мотори, 14 режимів, водонепроникний	93	9	мастурбатори, іграшки для чоловіків, вагінальний смарт-мастурбатор, смарт-мастурбатор satisfyer, смарт-мастурбатор сатисфаєр, satisfyer men vibration, силіконовий смарт-мастурбатор, смарт-мастурбатор на акумуляторі, смарт-мастурбатор 14 режимів
SO2115	3152110304	0	0	0	161011	Вибраторы	1199.0	available	14	5	1091	Вібратор Rocks Off RO-160mm 10 Rouge Allure, діаметр 3,2 см	59	8	вібратори, інтимні іграшки, вагінальний вібратор, вібратор rocks off, вібратор рокс оф, rocks off ro-160mm rouge, силіконовий вібратор, водонепроникний вібратор
SO1594	3152110162	0	0	8	161011	Вибраторы	1099.0	available	10	5	744	Вібромасажер Big Teaze Toys качечка I Rub My Duckie - Classic Yellow v2.0, скромняжка, pvc (поливинилхлорид)	108	6	вібратори, інтимні іграшки, вібромасажер для клітора, вібромасажер big teaze toys, водонепроникний вібромасажер, вібромасажер 7 режимів
SO8779	3152114420	2	0	9	161011	Вибраторы	1769.0	available	10	6	2632	Вібратор для точки G Satisfyer G-Force Violet, 10 режимів + 5 рівнів інтенсивності, силікон	91	9	вібратори, інтимні іграшки, вібратор для точки g, вібратор satisfyer, вібратор сатисфаєр, satisfyer g-force violet, фіолетовий вібратор, фіолетовий вібратор satisfyer, силіконовий вібратор
SO6698	3152113290	0	0	10	161007	БДСМ-игрушки	759.0	available	4	4	467	Нашийник з повідцем із натуральної шкіри із заклепками Art of Sex - Jenna Collar with Leash, чорний	99	5	бдсм іграшки, бдсм аксесуари, нашийник art of sex, нашийник арт оф секс, аксесуари для рольових ігор
SX0912	3152115511	0	0	10	161007	БДСМ-игрушки	2999.0	available	5	10	2475	Маска-збруя для мінету з повідцем LOCKINK SEVANDA Blowjob Head Muzzle with Leash, чорна, метал	94	8	бдсм іграшки, бдсм аксесуари, маска-збруя lockink, lockink sevanda blowjob, чорна маска-збруя, чорна маска-збруя lockink, металева маска-збруя, маска-збруя для домінування
SX4616	3152115915	0	0	30	161016	Насадки на член и эрекционные кольца	579.0	available	6	6	466	Насадка на член Kokos Cock Sleeve CS 005 S	42	5	іграшки для чоловіків, насадка член, насадка член kokos, насадка член кокос, kokos cock sleeve
SO2648	3152110793	0	0	30	161007	БДСМ-игрушки	929.0	available	4	9	1341	Чокер Bijoux Indiscrets MAZE – Wide Chocker Black, тканина	58	6	бдсм іграшки, бдсм аксесуари, чокер bijoux indiscrets, чокер біжу ендіскре, bijoux indiscrets maze wide, аксесуари для рольових ігор
SO4953	3152112364	0	0	30	161018	Вакуумные стимуляторы	3469.0	available	7	2	1934	Вакуумний KISSTOY вібратор KISTOY Tina Mini Violet, вагінально-кліторальний	75	9	вакуумні стимулятори, інтимні іграшки, вакуумний вібратор, вакуумний вібратор kisstoy, kisstoy kistoy tina, фіолетовий вакуумний вібратор, фіолетовий вакуумний вібратор kisstoy, вакуумний вібратор на акумуляторі, вакуумний вібратор 3 режимів
SO4664	3152112192	0	0	8	161016	Насадки на член и эрекционные кольца	379.0	available	7	3	1163	Подвійне ерекційне кільце з обхватом для мошонки Fetish Tentation Double Сockring, поліуретан	93	5	іграшки для чоловіків, подвійна кільце, кільце fetish tentation, fetish tentation double, ерекційне кільце fetish tentation
SO5544	3152112535	2	0	30	161011	Вибраторы	2839.0	available	14	6	3338	Смарт вібратор-кролик із підігрівом Satisfyer Hot Lover Pink, силікон	69	9	вібратори, інтимні іграшки, вібратор-кролик для клітора, вібратор-кролик satisfyer, вібратор-кролик сатисфаєр, satisfyer hot lover, рожевий вібратор-кролик, рожевий вібратор-кролик satisfyer, силіконовий вібратор-кролик
SX3232	3152117774	0	0	22	161013	Мастурбаторы	2899.0	available	5	8	532	Мастурбатор Kokos Onahole Edition 004 by Vanilla Vibe	53	9	мастурбатори, іграшки для чоловіків, вагінальний мастурбатор, мастурбатор kokos, мастурбатор кокос, kokos onahole edition, мастурбатор на водній основі, штучна вагіна kokos, гумова вагіна kokos
SO2735	3152110845	0	0	8	161011	Вибраторы	2099.0	available	13	10	1843	Мінівібромасажер PalmPower Pocket із чохлом на блискавці, водостійкий, перезаряджуваний, довжина 9см	100	9	вібратори, інтимні іграшки, вагінальний мінівібромасажер, мінівібромасажер palmpower, palmpower pocket, силіконовий мінівібромасажер, мінівібромасажер на акумуляторі, водонепроникний мінівібромасажер, мінівібромасажер 7 режимів
SO6318	3152113139	0	0	26	161014	Анальные пробки	869.0	available	7	2	1497	Металева анальна пробка Кролячий хвостик Alive Fluffy Plug L Black, діаметр 3,9 см	82	9	анальні пробки, анальні іграшки, металева анальна пробка, металева анальна пробка alive, металева анальна пробка елайв, alive fluffy plug, чорна металева анальна пробка, анальний плаг alive, анальний корок alive
SX0977	3152115564	0	0	1	161012	Страпоны	5399.0	available	12	6	2860	Безремінний страпон з вібрацією Fun Factory SHARE VIBE PRO cool grey, регульований, діаметр 4,1 см	98	9	страпони, бдсм аксесуари, безремінний страпон, безремінний страпон fun factory, безремінний страпон фан факторі, fun factory share vibe, силіконовий безремінний страпон, безремінний страпон на акумуляторі, водонепроникний безремінний страпон
SX0838	3152115450	0	0	2	161007	БДСМ-игрушки	1499.0	available	6	8	2810	Тиклер зі змінними насадками LOCKINK 5-head Flirting Tickler, золотистий корпус, 5 наконечників, силікон	104	6	бдсм іграшки, іграшки для чоловіків, тиклер змінними насадками, тиклер змінними насадками lockink, lockink flirting tickler, силіконові тиклер змінними насадками
SO2790	3152110859	0	0	18	161010	Фаллоимитаторы	4699.0	available	9	3	1481	Фалоімітатор Doc Johnson The Realistic Cock 6 inch Black - ULTRASKYN, діаметр 4,3 см, Vac-U-Lock	96	9	фалоімітатори, інтимні іграшки, подвійний фалоімітатор, фалоімітатор doc johnson, фалоімітатор док джонсон, doc johnson the realistic, чорний фалоімітатор, чорний фалоімітатор doc johnson, фалос реалістичний doc johnson
SO2978	3152110932	9	0	20	161007	БДСМ-игрушки	5069.0	available	5	5	1253	Утяжка для пеніса Mystim Plunging Pete, позолочена, з двома кульками і коротким уретральним зондом, силікон	107	6	бдсм іграшки, бдсм аксесуари, утяжка mystim, утяжка містім, mystim plunging pete, силіконова утяжка
SO6037	3152112808	0	0	0	161018	Вакуумные стимуляторы	4999.0	available	10	8	2831	Пульсатор KISSTOY з вакуумним стимулятором KISTOY Cathy White на гнучкому з'єднанні, діаметр 4,2 см	99	8	вакуумні стимулятори, пульсатор вакуумним стимулятором, анальний пульсатор вакуумним стимулятором, подвійний пульсатор вакуумним стимулятором, пульсатор вакуумним стимулятором kisstoy, kisstoy kistoy cathy, білий пульсатор вакуумним стимулятором, силіконовий пульсатор вакуумним стимулятором
SO6083	3152112835	0	0	1	16102104	Массажеры простаты	2689.0	available	9	4	2854	Смарт-масажер простати Satisfyer Deep Diver Grey, діаметр 3,3 см	64	7	масажери простати, анальні іграшки, смарт-масажер satisfyer, смарт-масажер сатисфаєр, satisfyer deep diver, силіконовий смарт-масажер, смарт-масажер 12 режимів
SO9507	3152114803	0	0	2	161007	БДСМ-игрушки	1939.0	available	8	9	2727	Набір Liebe Seele Pink G lossy 7pcs Bondage Kit, фіксатори, нашийник з повідцем, кляп, флогер, маска	100	4	бдсм іграшки, бдсм аксесуари, рожевий набір, аксесуари для рольових ігор
SO5554	3152112543	3	0	20	161010	Фаллоимитаторы	869.0	available	7	2	1607	Прозорий фалоімітатор Alive Jelly Dildo Empire, діаметр 4,3см, ТПЕ, присоска, довжина 19,3см	92	9	фалоімітатори, інтимні іграшки, прозорий фалоімітатор, прозорий фалоімітатор alive, прозорий фалоімітатор елайв, alive jelly dildo, tpe прозорий фалоімітатор, фалос реалістичний alive, дildo alive
SO3084	3152111371	0	0	7	161011	Вибраторы	1979.0	available	11	6	797	Потужний мінівібратор Love To Love Delight Me Menthe з м'яким кінчиком, 16 режимів роботи, силікон	98	8	вібратори, інтимні іграшки, міні-вібратор для клітора, міні-вібратор love to love, міні-вібратор лав ту лав, силіконовий міні-вібратор, міні-вібратор на акумуляторі, міні-вібратор 16 режимів
SO6257	3152113096	0	0	27	161010	Фаллоимитаторы	3969.0	available	8	7	1783	Реалістичний фалоімітатор Strap-On-Me Sliding Skin Realistic Dildo Fuchsia L, ефект рухливої шкіри	98	8	фалоімітатори, інтимні іграшки, фалоімітатор strap-on-me, фалоімітатор страп он мі, strap-on-me sliding skin, силіконовий фалоімітатор, фалос реалістичний strap-on-me, дildo strap-on-me
SX0854	3152115466	0	0	10	161007	БДСМ-игрушки	5669.0	available	4	10	2633	Маска на очі LOCKINK Vixen Blindfold, коричнева, натуральна шкіра, регульований обсяг, метал	92	6	бдсм іграшки, бдсм аксесуари, маска очі, маска очі lockink, lockink vixen blindfold, металеві маска очі
SX2663	3152117128	0	0	0	161011	Вибраторы	5899.0	available	10	10	5687	Міні смарт-віброяйце Lovense Lush Mini, зменшена версія Lovense Lush 4, діаметр 3,1 см	86	9	вібратори, інтимні іграшки, вагінальний віброяйця, віброяйця lovense, віброяйця ловенс, lovense lush mini, силіконова віброяйця, віброяйця 7 режимів, вагінальна кулька lovense
SO1778	3152110212	0	0	30	161003	Лубриканты	859.0	available	7	5	1076	Змазка на водній основі JO H2O — Vanilla Cream (120 мл) без цукру, рослинний гліцерин	85	6	лубриканти, інтимна косметика, змазка водній, змазка водній джо, jo h2o vanilla, засоби для інтимної гігієни
SO2443	3152110738	0	0	6	161016	Насадки на член и эрекционные кольца	2169.0	available	9	4	1181	Ерекційне віброкільце Bathmate Vibe Ring Stretch, широке, може бути обмежувачем, tpe	84	8	іграшки для чоловіків, ерекційне віброкільце, вагінальний ерекційне віброкільце, ерекційне віброкільце bathmate, ерекційне віброкільце батмейт, bathmate vibe ring, tpe ерекційне віброкільце, ерекційне кільце bathmate
SX4015	3152118707	0	0	10	161003	Лубриканты	699.0	available	8	2	463	Лубрикант спрей для посилення слиновиділення EXSENS Wet Kiss Pomegranate 15 мл	78	5	лубриканти, інтимна косметика, спрей exsens, exsens wet kiss, засоби для інтимної гігієни
SX3952	3152118658	0	0	30	161010	Фаллоимитаторы	3629.0	available	4	7	560	Фалоімітатор SilexD Fantasy - Angel 9", двошаровий, силікон+Silexpan	68	9	фалоімітатори, інтимні іграшки, фалоімітатор silexd, фалоімітатор сілексд, silexd fantasy angel, силіконовий фалоімітатор, фалоімітатор на водній основі, фалос реалістичний silexd, дildo silexd
SO6304	3152113129	0	0	10	15131004	Менструальные чаши	369.0	available	5	3	4280	Менструальна чаша Femintimate Eve Cup New розмір M, об’єм — 35 мл, ергономічний дизайн, діаметр 4 см	100	6	менструальні чаші, жіноча гігієна, менструальна чаша, менструальна чаша femintimate, femintimate eve cup, силіконова менструальна чаша
SX3459	3152118264	0	0	30	161007	БДСМ-игрушки	1389.0	available	4	4	804	Чоловіча портупея Art of Sex - Spartacus, натуральна шкіра, колір чорний, розмір L-2XL, метал	93	4	бдсм іграшки, бдсм аксесуари, портупея art, аксесуари для рольових ігор
SX2271	3152116591	1	0	5	161601	Женская парфюмерия	989.0	available	2	4	144	Стимулювальний блиск для губ Love To Love Love Potion - Gloss Sensuel 8 мл	74	3	парфумерія з феромонами, інтимна косметика, стимулювальний блиск
SO6997	3152113540	0	0	13	161011	Вибраторы	3299.0	available	12	10	2838	Вібратор для точки G з інтелектуальним режимом Svakom Amy 2 Violet, силікон	75	9	вібратори, інтимні іграшки, вібратор для точки g, вібратор svakom, вібратор сваком, svakom amy violet, фіолетовий вібратор, фіолетовий вібратор svakom, силіконовий вібратор
SO3470	3152111477	0	0	10	161011	Вибраторы	4599.0	available	12	10	1658	Потужний вібратор Mystim Terrific Truman Purple з двома моторами і вираженою головкою, силікон	94	9	вібратори, інтимні іграшки, вагінальний вібратор, вібратор mystim, вібратор містім, mystim terrific truman, фіолетовий вібратор, фіолетовий вібратор mystim, силіконовий вібратор
SO3868	3152111985	0	0	10	161011	Вибраторы	2629.0	available	10	7	1241	Вібромасажер Rianne S: Bella Mini Wand Rose, 10 режимів, медичний силікон, подарункове паковання	96	9	вібратори, інтимні іграшки, вагінальний вібромасажер, вібромасажер rianne s, rianne s bella mini, силіконовий вібромасажер, водонепроникний вібромасажер, вібромасажер 10 режимів, подарунковий набір
