sku	причина	rz_id	категорія	характеристик постачальника	характеристик після фільтрів	характеристики	назва
1013891679	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач рульових наконечників Газель Харків Без бренда (СРТГАЗ)
1013891689	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ храповика посилений S36 Харків-1 ХРАП36Х Без бренда (RGWR3601)
1013891691	менше 3 характеристик	4668907	Імбусові ключі	2	2	Бренд | Тип ключа	Ключі шестигранні подовжені 9ед. Стандарт (HKS0902)
1013891703	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	1	1	Бренд	Гнучкий шланг до шприц-оливниці з металевим обплетенням 12" G.I. KRAFT G.I.Kraft (KW-401-12)
1013891725	менше 3 характеристик	4673713	Пристрої підготовки та очищення повітря	1	1	Бренд	Редуктор тиску повітря для фарбопульта Airkraft (SP024)
1013891726	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремонтний комплект для краскопультів H-3003 Italco (RK-H-3003)
1013891733	менше 3 характеристик	4674187	Пневмопістолети для накачки шин	1	1	Бренд	Пістолет для підкачування коліс із манометром 15 бар Airkraft (STG-04)
1013891738	менше 3 характеристик	298224	Набори інструментів	1	1	Бренд	Притирка клапанів із карданом d6 довга ХЗСО (VGT0601)
1013891741	менше 3 характеристик	4668865	Динамометричні ключі	2	2	Бренд | Діапазон вимірювань	Пристосування типу монет для перевірки проміжку Toptul (JDBU0210)
1013891743	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбувальних пістолетів HD-1 Italco (RK-HD-1)
1013891747	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Розсухарювач клапанів струбциної МОСКВІЧ ЗАЗ Червоний Луч РАС-МСТРР Без бренда (VSC04MZ)
1013891753	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Кліщі для зняття хомутів ШРУСа Харків-1 КХШМ Без бренда (CVCP2201)
1013891755	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Набір знімачів кульових опор і кермових наконечників універсальний 5ед. Стандарт (NSK0501)
1013891877	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач дволапий рейок середній Харків Без бренда (СК2ЛРСР)
1013891898	менше 3 характеристик	4643976	Автосканери	2	2	Бренд | Гарантійний термін	X-431 оновлення програм 1 рік Launch (UPDATE)
1013891927	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 2-лапий рильс No4 120х130 мм Стандарт (SK2R4)
1013891934	менше 3 характеристик	4650255	Запчастини для компресорів	2	2	Бренд | Гарантійний термін	Компресорна головка AB580 580 л/хв Fiac (3020401000)
1013891935	менше 3 характеристик	4673713	Пристрої підготовки та очищення повітря	1	1	Бренд	Редуктор для фарбувального пістолета цифровий Italco (FR8)
1013891940	менше 3 характеристик	3510485	Патрони та перехідники	2	2	Бренд | Тип інструмента	Удлінитель з карданом для зняття коробки лом Харьков Без бренда (ЛОМХМ)
1013891994	менше 3 характеристик	4668865	Динамометричні ключі	1	2	Бренд | Розмір посадкового квадрата	Динамометричний ключ 6.8-135Нм цифровий 1/2" укорочений Toptul (DT-135S4)
1013892023	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач кермових тяг Вовга литий Харків Без бренда (СРТВЛ)
1013892033	менше 3 характеристик	298224	Набори інструментів	2	2	Бренд | Гарантійний термін	Набор моториста ХЗСО (ICEMK003)
1013892045	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Бренд | Об'єм	Шприц для заливання оливи 500 мл гнучки конвінки G.I.Kraft (K-504)
1013892046	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників 150 мм трилапий 6" Стандарт (SK3L6)
1013892048	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Бренд | Об'єм	Шприц для змащення 400 мл двохплунжерний Pro-Line G.I.Kraft (KTPL-479)
1013892058	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Оправка рихтувальна Toptul (JFCD0124)
1013892061	менше 3 характеристик	4668943	Ключі розрізні	1	1	Бренд	Ключ прокачування гальмівної системи 7х11 мм затискний Харків Без бренда (ПР0711Х)
1013892066	менше 3 характеристик	4668943	Ключі розрізні	1	1	Бренд	Ключ для гальмівних трубок 10х12 мм затискний Харків Без бренда (ПР1012Х)
1013892069	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Розсухарювач клапанів струбцина універсальний 3 насадки Червоний Луч СНГ (РАС-УН3НАС)
1013892084	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAF1211 Toptul (ALAD1211)
1013892088	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAF1203 Toptul (ALAD1203)
1013892113	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект до динамометричного ключа ANAF2450 Toptul (ALAD2450)
1013892115	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбувальних пістолетів K-200 Auarita (RK-K-200)
1013892418	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тягове зусилля	Захват для кузовних робіт 3 т Toptul (JFDB0303)
1013892443	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників тризахопний 100 мм 4" Стандарт (SP304ST)
1013892445	менше 3 характеристик	4654244	Ендоскопи автомобільні	2	2	Бренд | Гарантійний термін	Лінза 60° до ендоскопу JJAU0418 Toptul (JLAB0460)
1013892446	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач трьохзахватний універсальний довжина лап 120 235 285 мм по 3 шт. Стандарт (SK0220-1)
1013892480	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремонтний комплект для фарбопультів D-951-MINI Italco (RK-D-951-MINI)
1013892495	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбопультів TTS-HV30 Italco (RK-TTS-HV30)
1013892531	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач сайлентблоків Москвіч Червоний Луч ССБМКЛ Без бренда (SBM0704)
1013892537	менше 3 характеристик	4668931	Торцеві головки	1	2	Бренд | Розмір посадкового квадрата	Головка торцева 1/4" 4 5 мм Toptul (BAEA084E)
1013892552	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Встановлення для зливання олії з пневмонасосом і мірною колбою 80 л G.I. KRAFT G.I.Kraft (HD-855)
1013892564	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Візок для збирання олії з лійкою G.I.Kraft (TRL-10)
1013892572	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Посилений знімач підшипників двозахопний рельс з фіксацією 40х80 мм Стандарт (SK2R3U)
1013892586	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із фіксацією двозахопний рельс 38х65мм Без бренда (SK2R2F)
1013892591	менше 3 характеристик	4654188	Рихтувальне обладнання	1	1	Бренд	Рихтувальне пристосування 750 мм 2 упори G.I.Kraft (GI12209)
1013892615	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-х захватний кований 150мм павучок Харків Без бренда (СК3ЛКОВМ)
1013892640	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Піддон для зливання олії 16 л G.I. KRAFT G.I.Kraft (HM-16L)
1013892641	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект до динамометричного ключа ANAF1621 Toptul (ALAD1621)
1013892660	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Вуглецевий стрижень G.I. KRAFT G.I.Kraft (GI12159)
1013892662	менше 3 характеристик	4673713	Пристрої підготовки та очищення повітря	1	1	Бренд	Фільтри для фарбопульта у верхній бачок 10шт на блістері Auarita (GRTF-10pcs)
1013892665	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-захопний 300 мм 12" Стандарт (SK3L12)
1013892849	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для пробок картера квадрат 8мм Харків КВ8Х Без бренда (SQRT0008)
1013892853	менше 3 характеристик	4654188	Рихтувальне обладнання	1	1	Бренд	Присосок для рихтування кузова пневматична G.I.Kraft (GI12206)
1013892854	менше 3 характеристик	155293	Пускозарядні пристрої	2	2	Бренд | Тип	Пускозарядний пристрій 12/24 V 500 A 220 V G.I.Kraft (GI35112)
1013892855	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Болт алюмінієвий для спотера 4 мм 50 шт. G.I. KRAFT G.I.Kraft (GI12167)
1013892857	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Рихтувальне пристосування Toptul (JFBE0215)
1013892864	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Встановлення для зливання олії пластикове 30 л G.I.Kraft (HDP-30)
1013892870	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач підшипників маточини ВАЗ 2108-2109 Харків ХЗСО (BHP2108)
1013892898	менше 3 характеристик	4630800	Ремонтні комплекти кермових механізмів	1	1	Бренд	Засухарювач рульових пальців Москвич струбциною Красний Луч ЗРПСТР Без бренда (CSWF0101)
1013892903	менше 3 характеристик	4674187	Пневмопістолети для накачки шин	1	1	Бренд	Манометр для пістолета підкачування шин STG-05 різь знизу Airkraft (MAN-STG-05G)
1013892908	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Прилад для регулювання світла фар Nitromac (NitroMac)
1013892922	менше 3 характеристик	4668931	Торцеві головки	1	2	Бренд | Розмір посадкового квадрата	Професійний набір інструменту 1/4" 54ед. дюйм+метр. Toptul (GBA54400)
1013892927	менше 3 характеристик	2798752	Молотки	1	1	Бренд	Насадка для молотка рихтувального поліуретанова Toptul (HLAA3501)
1013892928	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тягове зусилля	Захват для кузовних робіт 5 т Toptul (JFDE0105)
1013892944	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Тягове зусилля	З'єднувач ланцюгів Toptul (JFEA0106)
1013892955	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач рульових тяг Волга Харків Без бренда (СРТВ)
1013892958	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ стартерний S13 Харків Без бренда (КСТАРТ13Х)
1013892985	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Бренд | Об'єм	Шприц оливозаливний 500 мл гнучкий коновик G.I.Kraft (K-501)
1013892992	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Пристосування для рихтування кузова автомобіля Toptul (JFBG0412)
1013893007	менше 3 характеристик	4674187	Пневмопістолети для накачки шин	1	1	Бренд	Наконечник для підкачування шин 8 мм Airkraft (ATC-09)
1013893015	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометричного ключа ANAA2498 Toptul (ALAD2498)
1013893021	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект до динамометричного ключа ANAM1205 Toptul (ALAH1205)
1013893052	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Тестер для інжекторів універсальний Trisco (FT-310)
1013893092	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Тип	Тестер інжекторів професійний Toptul (JGAI8101)
1013893093	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект для динамометрических ключей ANAM1610/1620/1630/1640 Toptul (ALAH1610)
1013893095	менше 3 характеристик	4654251	Інспекційне світло для СТО	2	2	Бренд | Тип живлення	Лампа переносна гаражна 15 м Стандарт (ПЕР15С)
1013893412	менше 3 характеристик	80247	Інфрачервоні обігрівачі	1	1	Бренд	Інфрачервона лампа для сушіння авто G.I.Kraft (LK-15130)
1013893424	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбувальних пістолетів K-350 Auarita (RK-K-350)
1013893434	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Болт алюмінієвий для спотера 5 мм 50 шт. G.I. KRAFT G.I.Kraft (GI12168)
1013893449	менше 3 характеристик	4660272	Заклепники	1	1	Бренд	Набір насадок для клепки гальмівних колодок Airkraft (NNZPTN)
1013893453	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач кермових і кульових Ланос СРТЛАН ХЗСО (TRPL017)
1013893462	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Стробоскоп автомобільний Trisco (TL-122)
1013893469	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач двозахопний 200 мм 8" Стандарт (SK2L8)
1013893489	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбувальних пістолетів MP-200 Auarita (RK-MP-200)
1013893520	менше 3 характеристик	298224	Набори інструментів	1	1	Бренд	Набивання сальників клапанів ВАЗ 2110 16 V Харків-1 Без бренда (НСК10ХЦ)
1013893571	менше 3 характеристик	4650255	Запчастини для компресорів	2	2	Бренд | Гарантійний термін	Компресорна головка AB998 998 л/хв Fiac (3021080000)
1013893579	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-х лапий кований великий Харків Без бренда (СК4ЛКОВБ)
1013893590	менше 3 характеристик	2798752	Молотки	1	1	Бренд	Змінний бойок для рихтувального молотка нейлоновий Toptul (HLAA3502)
1013893597	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-827B Auarita (RK-H-827B)
1013893600	менше 3 характеристик	4670641	Зварювальні апарати	1	1	Бренд	Індукційна котушка спіраль діам. 1-1/4" для IND-1000W G.I.Kraft (114-COIL)
1013893609	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач підшипників маточин Москвич 2141" Красний Луч Без бренда (ПОДШ41КрЛ)
1013893725	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект до динамометричного ключа ANAF1635 Toptul (ALAD1635)
1013893727	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Набір для беззварювального рихтування G.I. KRAFT G.I.Kraft (GI12201)
1013893731	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів ST-3000 Auarita (RK-ST-3000)
1013893737	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Вилка для зняття кульових опор цементована Харків Без бренда (ВИЛЦХ)
1013893753	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач пружин 355 мм Стандарт (ST370S)
1013897461	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-5005 Italco (RK-H-5005)
1013897462	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач поршневих пальців Червоний Промінь ЗПС Без бренда (PFRR0024)
1013897463	менше 3 характеристик	3510569	Фрези	2	2	Бренд | Діапазон	Хон для розточування циліндра 51-178мм Toptul (JDBE0718)
1013897468	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ храповика посилений S38 Харків-1 ХРАП38Х Без бренда (RGWR3801)
1013897512	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач кермових і кульових опор універсальний 20 мм Стандарт (SRT0314)
1013897523	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач двозахопний рельс No3 80х90мм Стандарт (SK2R3)
1013897525	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для краскопультів H-4004 Italco (RK-H-4004)
1013897528	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Шайба для спотера 50 шт. G.I. KRAFT G.I.Kraft (GI12155)
1013897537	менше 3 характеристик	4670017	Плоскогубці, щипці	2	2	Бренд | Довжина	Пінцет 115 мм Toptul (JJAV0312)
1013897543	менше 3 характеристик	4670466	Гідравлічні насоси та комплектуючі	2	2	Бренд | Тип гідравлічного насоса	Насос пневмогідравлічний TORIN (TRA5200)
1013897548	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбувальних пістолетів PT-2/PT-8 Auarita (RK-PT-2/PT-8)
1013897549	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Болт для спотера 50 шт. G.I. KRAFT G.I.Kraft (GI12154)
1013897558	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Оправка рихтувальна Toptul (JFBF0111)
1013897561	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач кульових опор ВАЗ 2101-2107 солдатик Харків Україна Без бренда (СШОСОЛД)
1013897566	менше 3 характеристик	3510569	Фрези	1	1	Бренд	Зенкер для CDI форсунок ХЗСО (CDIR1701)
1013897584	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімачі 2-захопний знімач підшипників 4" 100 мм Стандарт (SP204ST)
1013897586	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Ключ для зняття стійок Таврія Ланос Харків Без бренда (СТТАВР)
1013897588	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач 3-лапий 600 мм 24" Стандарт (SK3L24)
1013897590	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач підшипників 3-захопний 150 мм 6" Стандарт (SP306ST)
1013897592	менше 3 характеристик	155293	Пускозарядні пристрої	2	2	Бренд | Тип	Пускозарядний пристрій 12/24 V 600A 220 V G.I.Kraft (GI35111)
1013897600	менше 3 характеристик	80247	Інфрачервоні обігрівачі	1	1	Бренд	Інфрачервоне сушіння G.I.Kraft (GI15112)
1013897629	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Оправка рихтувальна Toptul (JFBB0110)
1013897634	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Гарантійний термін	Набір для установки фаз ГРМ Газель СТАНДАРТ Без бренда (РЕГГАЗ)
1013897654	менше 3 характеристик	4668907	Імбусові ключі	2	2	Бренд | Тип ключа	Ключі TORX Г-подібні довгі з отвором 9 од. Стандарт (TKS0902)
1013897692	менше 3 характеристик	4668943	Ключі розрізні	2	2	Бренд | Гарантійний термін	Ключ прокачування гальм затискний 7х11мм СНД Без бренда (ПР0711В)
1013897695	менше 3 характеристик	4673722	Пневмопістолети будівельні	1	1	Бренд	Комплект форсунок для штукатурних розпилювачів FR-300/FR-301 4 6 8 мм Auarita (NS-FR-300-301)
1013898032	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Розсухарювач клапанів ВАЗ 2101-2107 ХЗСО (VSC2101)
1013898034	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач півосей універсальний Харків-1 Україна Без бренда (СПОЛ)
1013898065	менше 3 характеристик	4650255	Запчастини для компресорів	2	2	Бренд | Гарантійний термін	Компресорна головка AB380 380 л/хв Fiac (9100281000)
1013898067	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремонтний комплект для краскопультів H-3003-MINI Italco (RK-H-3003-MINI)
1013898069	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Пневматичний нагнітач мастила 12 л. G.I. KRAFT G.I.Kraft (AGL-12)
1013898080	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Тип	Тестер тиску масла Trisco (EA-600)
1013898086	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач кульових опор ВАЗ 2101-2107 з ручкою Україна Без бренда (СШОРУЧКрЛ)
1013898090	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Стробоскоп автомобільний Trisco (TL-1100)
1013898096	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач із фіксацією двозахопний рельс 35х45мм Без бренда (SK2R1F)
1013898102	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач кульових опор і кермових тяг універсальний 20 мм Стандарт (SRT0313-1)
1013898105	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач внутрішніх підшипників 3-захопний Стандарт (SK3VN)
1013898121	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімачі 2-захопний знімач підшипників 3" 75 мм Стандарт (SP203ST)
1013898130	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Пристосування для прочищення поршневих канавок Toptul (JDCV0205)
1013898137	менше 3 характеристик	4654139	Стартові дроти	2	2	Бренд | Гарантійний термін	Тестові затискачі крокодили 2 шт. Херсон Без бренда (КРДЛ)
1013898176	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач сайлентблоків Газель СБГАЗЦХ ХЗСО (SBG0805)
1013898188	менше 3 характеристик	4668865	Динамометричні ключі	1	1	Бренд	Ремкомплект до динамометричного ключа ANAM0803 Toptul (ALAH0803)
1013898198	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Бренд | Довжина	Гнучкий шланг з наконечником до шприц-оливниці 12" 310 мм Toptul (JJAC1212)
1013898203	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач сайлентблоків ВАЗ 2108-2110 ССБ08КРЛ ХЗСО (SBZ0808)
1013898214	менше 3 характеристик	4654188	Рихтувальне обладнання	2	2	Бренд | Розмір	Рихтове приспособлення Toptul (JFBC0113)
1013898219	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач сайлентблоків Волга ССБВКЛ ХЗСО TOPTUL (SBV0801)
1013898234	менше 3 характеристик	4668943	Ключі розрізні	1	1	Бренд	Ключ прокачування гальм затискний 7х9мм затискний СНД Без бренда (ПР0709В)
1013898242	менше 3 характеристик	4654251	Інспекційне світло для СТО	2	2	Бренд | Тип живлення	Переносна лампа гаражна 5 м Стандарт (ПЕР5С)
1013898267	менше 3 характеристик	4670641	Зварювальні апарати	1	1	Бренд	Індукційна пластина кругла діам. 75мм для IND-1000W G.I.Kraft (ROUND-COIL)
1013898269	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Зливна ємність для оливи пластикове 75 л G.I.Kraft (HDP-75)
1013898563	менше 3 характеристик	4670466	Гідравлічні насоси та комплектуючі	2	2	Бренд | Тип гідравлічного насоса	Насос гідравлічний із пневмоприводом TORIN (TRA3401)
1013898574	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач реактивних тяг ВАЗ 2101-2107 Червоний Промінь РЕАКТИВ Без бренда (ERPL0107)
1013898577	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Набір для чищення краскопультів Auarita (ASGCS)
1013898594	менше 3 характеристик	4670017	Плоскогубці, щипці	2	2	Бренд | Довжина	Пінцет 117 мм Toptul (JJAV0112)
1013898604	менше 3 характеристик	4668865	Динамометричні ключі	1	2	Бренд | Розмір посадкового квадрата	Адаптер динамометричний цифровий + шкала довороту 1/2" 10-200Нм Toptul (DTA-200A4)
1013898608	менше 3 характеристик	4670017	Плоскогубці, щипці	2	2	Бренд | Довжина	Пінцет 120 мм Toptul (JJAV0212)
1013898623	менше 3 характеристик	4668955	Знімачі	1	1	Бренд	Знімач підшипників ступиці ВАЗ 2108-2109 з лапами Червоний Промінь Без бренда (ПОДШ08Л)
1013898630	менше 3 характеристик	4668943	Ключі розрізні	1	1	Бренд	Ключ прокачки гальмовної системи 10х13 мм зажимний Харків Без бренда (ПР1013Х)
1013898631	менше 3 характеристик	3510569	Фрези	1	1	Бренд	Ніж для зенкеров розсувних 32.4-3 3шт. Харків Без бренда (НОЖШАР32)
1013898632	менше 3 характеристик	154981	Фарбопульти	1	2	Бренд | Тип	Ремкомплект для фарбувальних пістолетів PT-29B Auarita (RK-PT-29B)
1013898635	менше 3 характеристик	4630800	Ремонтні комплекти кермових механізмів	1	1	Бренд	Засухариватель пальців рульових Москвич будиночком Червоний Промінь ЗРПДОМ Без бренда (CSWF02HS)
1013898649	менше 3 характеристик	4668961	Інструмент для змащувальних матеріалів	2	2	Ємність бака | Бренд	Встановлення для вакуумного відкачування оливи з мірною колбою 80 л G.I.Kraft (B8010KV)
1013898671	менше 3 характеристик	4668955	Знімачі	2	2	Бренд | Кількість захватів зймача	Знімач двозахопний рельс литий 150 мм Харків Без бренда (СК2ЛТСТ)
1013898681	менше 3 характеристик	4644008	Тестери і вимірники автомобільні	2	2	Бренд | Гарантійний термін	Стробоскоп з інтенсивним променем Trisco (TA-2200)
1013898703	менше 3 характеристик	4670626	Аксесуари та супутні товари для зварювального устаткування	1	1	Бренд	Затискач під вуглецевий стрижень G.I. KRAFT G.I.Kraft (GI12158)
