ID,Рівень 1,Рівень 2,Рівень 3,Рівень 4,Рівень 5,"Категорія останнього рівня, (для використання в атрибутах)",Роялті
7539,Автотовари,Автозапчастини,Гальмівна система,Гальмівні елементи автомобіля,Гальмівні колодки барабанні,Гальмівні колодки барабанні,
7541,Автотовари,Автозапчастини,Гальмівна система,Гальмівні елементи автомобіля,Ремкомплекти барабанних колодок,Ремкомплекти барабанних колодок,
395,Автотовари,Автозапчастини,Гальмівна система,Гальмівні елементи автомобіля,Скоби гальмівних колодок,Скоби гальмівних колодок,
7538,Автотовари,Автозапчастини,Гальмівна система,Гальмівні елементи автомобіля,Троси ручного гальма,Троси ручного гальма,
399,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Вакуумні підсилювачі гальм,Вакуумні підсилювачі гальм,
7536,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Гальмівні супорти,Гальмівні супорти,
7537,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Гальмівні шланги,Гальмівні шланги,
7542,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Головні гальмівні циліндри,Головні гальмівні циліндри,
7150,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Комплекти напрямної супорта,Комплекти напрямної супорта,
7547,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Поршні гальмівного супорта,Поршні гальмівного супорта,
7545,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Ремкомплекти гальмівного циліндра,Ремкомплекти гальмівного циліндра,
7111,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Ремкомплекти головного гальмівного циліндра,Ремкомплекти головного гальмівного циліндра,
7543,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Ремкомплекти супорта,Ремкомплекти супорта,
6097,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Робочі гальмівні циліндри,Робочі гальмівні циліндри,
401,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Розподільники гальмівних зусиль,Розподільники гальмівних зусиль,
7179,Автотовари,Автозапчастини,Гальмівна система,Гідравліка гальмівної системи,Скоби гальмівного супорта,Скоби гальмівного супорта,
7395,Автотовари,Автозапчастини,Гальмівна система,Електронні компоненти гальмівної системи,Датчик зносу гальмівних колодок,Датчик зносу гальмівних колодок,
7470,Автотовари,Автозапчастини,Гальмівна система,Електронні компоненти гальмівної системи,Датчики АБС,Датчики АБС,
7544,Автотовари,Автозапчастини,Гальмівна система,Напрямні супорта,,Напрямні супорта,
7540,Автотовари,Автозапчастини,Гальмівна система,Пружини гальмівних колодок,,Пружини гальмівних колодок,
7392,Автотовари,Автозапчастини,Датчики для авто,Датчики абсолютного тиску,,Датчики абсолютного тиску,
7387,Автотовари,Автозапчастини,Датчики для авто,Датчики детонації,,Датчики детонації,
7388,Автотовари,Автозапчастини,Датчики для авто,Датчики положення педалі газу,,Датчики положення педалі газу,
7383,Автотовари,Автозапчастини,Датчики для авто,Датчики рівня пального,,Датчики рівня пального,
7384,Автотовари,Автозапчастини,Датчики для авто,Датчики стоп-сигналу,,Датчики стоп-сигналу,
7397,Автотовари,Автозапчастини,Датчики для авто,Датчики тиску вихлопних газів,,Датчики тиску вихлопних газів,
521,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Глушники вихлопних газів,Глушники вихлопних газів,
3500,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Гофри глушника,Гофри глушника,
7260,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Каталізатори для авто,Каталізатори для авто,
7896,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Клапани EGR,Клапани EGR,
6052,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Кріплення глушника,Кріплення глушника,
7894,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Патрубки сапуна,Патрубки сапуна,
7262,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Прокладки вихлопної труби,Прокладки вихлопної труби,
6093,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Вихлопна система,Хомути глушника,Хомути глушника,
5084,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Болти ГБЦ,Болти ГБЦ,
7476,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Болти шатуна,Болти шатуна,
7562,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Вентиляція картера,Вентиляція картера,
7557,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Гідрокомпенсатори,Гідрокомпенсатори,
7477,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Заглушки блока,Заглушки блока,
7566,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Клапани випускні,Клапани випускні,
7561,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Клапани впускні,Клапани впускні,
7479,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Клапани керування тиском ВГ,Клапани керування тиском ВГ,
5950,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Комплекти поршневих кілець,Комплекти поршневих кілець,
7472,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Комплектуючі клапана,Комплектуючі клапана,
7478,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Корінні вкладиші колінчастого вала,Корінні вкладиші колінчастого вала,
6096,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,"Коромисла клапанів (рокери)
","Коромисла клапанів (рокери)
",
6118,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,"Кришки оливозаливної горловини
","Кришки оливозаливної горловини
",
7432,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Ланцюги оливного насоса,Ланцюги оливного насоса,
7475,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Напрямні клапана,Напрямні клапана,
7419,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Оливні насоси для авто,Оливні насоси для авто,
7423,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Оливні піддони двигуна,Оливні піддони двигуна,
4764,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Патрубки вентиляції картера,Патрубки вентиляції картера,
532,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Півкільця колінчастого вала,Півкільця колінчастого вала,
418,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Повітряні патрубки для авто,Повітряні патрубки для авто,
7560,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Подушки двигуна,Подушки двигуна,
7565,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Поршневі кільця,Поршневі кільця,
7555,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Поршні двигуна,Поршні двигуна,
7421,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Пробки зливу оливи двигуна,Пробки зливу оливи двигуна,
5331,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Регулювальні шайби клапанів,Регулювальні шайби клапанів,
7563,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Розподільні вали,Розподільні вали,
7474,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Сальники клапана,Сальники клапана,
8465,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Сальники клапанів,Сальники клапанів,
7564,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Сальники колінчастого вала,Сальники колінчастого вала,
7473,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Сальники розподільного вала,Сальники розподільного вала,
5932,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Сухарі клапанів,Сухарі клапанів,
7556,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Шатуни двигуна,Шатуни двигуна,
7559,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Шатунні вкладиші,Шатунні вкладиші,
7558,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Шестерні колінчастого вала,Шестерні колінчастого вала,
7480,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Шестерні розподільного вала,Шестерні розподільного вала,
6426,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Деталі двигуна для авто,Щупи рівня оливи двигуна,Щупи рівня оливи двигуна,
7380,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Витратоміри повітря,Витратоміри повітря,
6094,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Датчики положення дросельної заслінки,Датчики положення дросельної заслінки,
7471,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Датчики положення колінчастого вала,Датчики положення колінчастого вала,
7379,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Датчики тиску оливи,Датчики тиску оливи,
7378,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Лямбда-зонди,Лямбда-зонди,
7439,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Паливні насоси високого тиску,Паливні насоси високого тиску,
7458,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Паливні насоси для авто,Паливні насоси для авто,
7441,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Паливні форсунки,Паливні форсунки,
3505,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Паливна система,Прокладки під форсунки,Прокладки під форсунки,
7493,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Подача повітря, турбокомпресор",Інтеркулери для авто,Інтеркулери для авто,
7494,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Подача повітря, турбокомпресор",Патрубки наддуву,Патрубки наддуву,
7492,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Подача повітря, турбокомпресор",Прокладки турбокомпресора,Прокладки турбокомпресора,
7490,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Подача повітря, турбокомпресор",Турбокомпресори,Турбокомпресори,
7507,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Комплекти прокладок двигуна,Комплекти прокладок двигуна,
7512,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки випускного колектора,Прокладки випускного колектора,
7511,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки впускного колектора,Прокладки впускного колектора,
7506,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки ГБЦ,Прокладки ГБЦ,
7510,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки ГРМ,Прокладки ГРМ,
7508,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки клапанної кришки,Прокладки клапанної кришки,
7424,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки оливного насоса,Прокладки оливного насоса,
7513,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки оливного піддона,Прокладки оливного піддона,
7425,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки помпи для авто,Прокладки помпи для авто,
7516,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Прокладки двигуна,Прокладки термостата для авто,Прокладки термостата для авто,
7437,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Заспокоювачі ланцюга,Заспокоювачі ланцюга,
7435,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Заспокоювачі ланцюга ГРМ,Заспокоювачі ланцюга ГРМ,
7427,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Клинові ремені,Клинові ремені,
7281,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Комплекти ГРМ,Комплекти ГРМ,
7438,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Комплекти ланцюгів,Комплекти ланцюгів,
7430,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Ланцюги ГРМ,Ланцюги ГРМ,
6534,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Натягувачі ланцюга ГРМ,Натягувачі ланцюга ГРМ,
7431,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Натягувачі ременя,Натягувачі ременя,
8466,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто","Натягувачі ременя генератора 
","Натягувачі ременя генератора 
",
7162,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Натягувачі ременя ГРМ,Натягувачі ременя ГРМ,
6076,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Натяжний ролик ременя ГРМ,Натяжний ролик ременя ГРМ,
7426,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Ремені генератора автомобіля,Ремені генератора автомобіля,
3297,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Ремені ГРМ,Ремені ГРМ,
7434,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Ролики ременя,Ролики ременя,
7902,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Ролики ременя генератора,Ролики ременя генератора,
3501,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Ролики ременя ГРМ,Ролики ременя ГРМ,
7433,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Шківи генератора,Шківи генератора,
7428,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,"Ремені, ланцюги і натягувачі для авто",Шківи колінчастого вала,Шківи колінчастого вала,
4815,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Фільтри автомобільні,Оливні фільтри,Оливні фільтри,
4828,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Фільтри автомобільні,Паливні фільтри,Паливні фільтри,
4830,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Фільтри автомобільні,Повітряні фільтри,Повітряні фільтри,
4813,Автотовари,Автозапчастини,Двигун та вихлоп для автомобіля,Фільтри автомобільні,Фільтри салону,Фільтри салону,
2971,Автотовари,Автозапчастини,Двірники та щітки склоочисника,,,Двірники та щітки склоочисника,
7449,Автотовари,Автозапчастини,Деталі кузова автомобіля,Автоантени,,Автоантени,
8411,Автотовари,Автозапчастини,Деталі кузова автомобіля,Бампери,,Бампери,
7447,Автотовари,Автозапчастини,Деталі кузова автомобіля,Внутрішні елементи кузова авто,Амортизатори багажника і капота,Амортизатори багажника і капота,
7454,Автотовари,Автозапчастини,Деталі кузова автомобіля,Внутрішні елементи кузова авто,Замки дверей для авто,Замки дверей для авто,
7452,Автотовари,Автозапчастини,Деталі кузова автомобіля,Внутрішні елементи кузова авто,Панелі передні,Панелі передні,
6095,Автотовари,Автозапчастини,Деталі кузова автомобіля,Внутрішні елементи кузова авто,Петлі капота,Петлі капота,
2990,Автотовари,Автозапчастини,Деталі кузова автомобіля,Внутрішні елементи кузова авто,Підкрилки,Підкрилки,
7456,Автотовари,Автозапчастини,Деталі кузова автомобіля,Внутрішні елементи кузова авто,Ручки для авто,Ручки для авто,
2854,Автотовари,Автозапчастини,Деталі кузова автомобіля,Внутрішні елементи кузова авто,Склопідйомники,Склопідйомники,
7444,Автотовари,Автозапчастини,Деталі кузова автомобіля,Зовнішні частини кузова автомобіля,Бампери передні,Бампери передні,
7442,Автотовари,Автозапчастини,Деталі кузова автомобіля,Зовнішні частини кузова автомобіля,Дзеркала для авто,Дзеркала для авто,
364,Автотовари,Автозапчастини,Деталі кузова автомобіля,Зовнішні частини кузова автомобіля,Захист двигуна,Захист двигуна,
7440,Автотовари,Автозапчастини,Деталі кузова автомобіля,Зовнішні частини кузова автомобіля,Капоти,Капоти,
7443,Автотовари,Автозапчастини,Деталі кузова автомобіля,Зовнішні частини кузова автомобіля,Крила передні,Крила передні,
7457,Автотовари,Автозапчастини,Деталі кузова автомобіля,Зовнішні частини кузова автомобіля,Підсилювачі бампера,Підсилювачі бампера,
7446,Автотовари,Автозапчастини,Деталі кузова автомобіля,Зовнішні частини кузова автомобіля,Решітки радіатора для авто,Решітки радіатора для авто,
6173,Автотовари,Автозапчастини,Деталі кузова автомобіля,Освітлення для автомобіля,Вимикачі стоп-сигналу,Вимикачі стоп-сигналу,
7282,Автотовари,Автозапчастини,Деталі кузова автомобіля,Освітлення для автомобіля,Задні ліхтарі,Задні ліхтарі,
5941,Автотовари,Автозапчастини,Деталі кузова автомобіля,Освітлення для автомобіля,Лампи ближнього світла,Лампи ближнього світла,
5938,Автотовари,Автозапчастини,Деталі кузова автомобіля,Освітлення для автомобіля,Основні фари,Основні фари,
397,Автотовари,Автозапчастини,Деталі кузова автомобіля,Освітлення для автомобіля,Покажчики поворотів,Покажчики поворотів,
2880,Автотовари,Автозапчастини,Деталі кузова автомобіля,Освітлення для автомобіля,Протитуманні фари,Протитуманні фари,
7276,Автотовари,Автозапчастини,Деталі кузова автомобіля,Системи склоочисника автомобіля,Двигуни склоочисника,Двигуни склоочисника,
7277,Автотовари,Автозапчастини,Деталі кузова автомобіля,Системи склоочисника автомобіля,Насоси омивача скла,Насоси омивача скла,
7455,Автотовари,Автозапчастини,Деталі кузова автомобіля,Троси кузовних деталей,,Троси кузовних деталей,
7247,Автотовари,Автозапчастини,Електрика та освітлення,Електрообладнання для авто,Генератори для авто,Генератори для авто,
7386,Автотовари,Автозапчастини,Електрика та освітлення,Електрообладнання для авто,Датчики температури охолоджувальної рідини,Датчики температури охолоджувальної рідини,
7391,Автотовари,Автозапчастини,Електрика та освітлення,Електрообладнання для авто,Датчики увімкнення вентилятора,Датчики увімкнення вентилятора,
7394,Автотовари,Автозапчастини,Електрика та освітлення,Електрообладнання для авто,Датчики швидкості,Датчики швидкості,
7112,Автотовари,Автозапчастини,Електрика та освітлення,Електрообладнання для авто,Кнопки склопідйомника,Кнопки склопідйомника,
7113,Автотовари,Автозапчастини,Електрика та освітлення,Електрообладнання для авто,Мости (випрямлячі) генератора,Мости (випрямлячі) генератора,
7246,Автотовари,Автозапчастини,Електрика та освітлення,Електрообладнання для авто,Стартери для авто,Стартери для авто,
7553,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Блоки керування системою запалювання,Блоки керування системою запалювання,
7551,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Високовольтні дроти,Високовольтні дроти,
7554,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Замки запалювання,Замки запалювання,
393,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Комплектуючі розподільника запалювання,Комплектуючі розподільника запалювання,
7552,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Котушки запалювання,Котушки запалювання,
403,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Свічки запалювання для автомобіля,Свічки запалювання для автомобіля,
7550,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Свічки розжарення,Свічки розжарення,
5931,Автотовари,Автозапчастини,Електрика та освітлення,Запалювання автомобіля,Свічки розжарювання для автомобіля,Свічки розжарювання для автомобіля,
3690,Автотовари,Автозапчастини,Запчастини для ТО автомобіля,Фільтри для авто,Фільтри АКПП,Фільтри АКПП,
1535,Автотовари,Автозапчастини,Зчеплення,,,Зчеплення,
4932,Автотовари,Автозапчастини,Клеми акумуляторні,,,Клеми акумуляторні,
3165,Автотовари,Автозапчастини,Коробка передач автомобіля,Витратні матеріали для автомобіля,,Витратні матеріали для автомобіля,
7502,Автотовари,Автозапчастини,Коробка передач автомобіля,Запчастини трансмісії,Пильники ШРКШа,Пильники ШРКШа,
7501,Автотовари,Автозапчастини,Коробка передач автомобіля,Запчастини трансмісії,Півосі,Півосі,
7504,Автотовари,Автозапчастини,Коробка передач автомобіля,Запчастини трансмісії,Підшипники півосі для авто,Підшипники півосі для авто,
6341,Автотовари,Автозапчастини,Коробка передач автомобіля,Запчастини трансмісії,Подушки коробки передач (АКПП),Подушки коробки передач (АКПП),
